,Candidate,Party,,Criminal Cases,,Education,,Age,,Total Assets,,Liabilities,,Result,constituency,state,year,election
,Shatrughan Prasad Sinha,,AITC,, 2,,Graduate,75,,1327455927,,291301186,,Winner,ASANSOL : BYE ELECTION ON 12-04-2022,WEST BENGAL,2019,Lok Sabha
,Agnimitra Paul,,BJP,, 5,,Graduate,49,,24126224,,11700000,,,ASANSOL : BYE ELECTION ON 12-04-2022,WEST BENGAL,2019,Lok Sabha
,Amitav Naska,,IND,,0,,Post Graduate,36,,1751000,,450000,,,ASANSOL : BYE ELECTION ON 12-04-2022,WEST BENGAL,2019,Lok Sabha
,Jagodish Mandal,,Bharatiya Nyay-Adhikar Raksha Party,,0,,8th Pass,49,,184500,,0,,,ASANSOL : BYE ELECTION ON 12-04-2022,WEST BENGAL,2019,Lok Sabha
,Partha Mukherj,,CPI(M),, 2,,Graduate,59,,5432316,,0,,,ASANSOL : BYE ELECTION ON 12-04-2022,WEST BENGAL,2019,Lok Sabha
,Prabhu Nath Sah,,IND,,0,,Post Graduate,62,,3025194,,3610000,,,ASANSOL : BYE ELECTION ON 12-04-2022,WEST BENGAL,2019,Lok Sabha
,Prasenjit Puitandy (Sanku),,INC,, 3,,12th Pass,42,,7718670,,11543327,,,ASANSOL : BYE ELECTION ON 12-04-2022,WEST BENGAL,2019,Lok Sabha
,Sunny Kumar Sah,,IND,,0,,12th Pass,32,,8898149,,0,,,ASANSOL : BYE ELECTION ON 12-04-2022,WEST BENGAL,2019,Lok Sabha
