"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Manohar Tirkey";"RSP";"0";"10th Pass";"56";"2358725";"0";"Yes";"Alipurduars";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Bilkan Bara";"SWJP";"0";"Graduate Professional";"62";"308100";"40000";"No";"Alipurduars";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Elias Narjinary";"BSP";"0";"12th Pass";"56";"1557000";"0";"No";"Alipurduars";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Joachim Baxla";"IND";"0";"Not Given";"55";"0";"0";"No";"Alipurduars";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Kamal Lama";"IND";" 2";"8th Pass";"49";"1799701";"0";"No";"Alipurduars";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Manoj Tigga";"BJP";"0";"Graduate";"36";"58079";"66572";"No";"Alipurduars";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Paban Kumar Lakra";"AITC";"0";"12th Pass";"56";"112491";"104949";"No";"Alipurduars";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Pauldexion Khariya";"IND";" 1";"Graduate";"55";"0";"0";"No";"Alipurduars";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Thaddeus Lakra";"IND";"0";"Graduate";"60";"3175000";"0";"No";"Alipurduars";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
