"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"B.Z.Zameer Ahmed Khan";"INC";" 5";"8th Pass";"55";"727258460";"429320915";"Yes";"CHAMRAJAPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Anand.K.S";"IND";"0";"12th Pass";"35";"30023";"0";"No";"CHAMRAJAPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Asgar A Moheen.S.M.";"IND";" 1";"12th Pass";"54";"4700000";"0";"No";"CHAMRAJAPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Bhaskar Rao";"BJP";"0";"Post Graduate";"59";"239282106";"0";"No";"CHAMRAJAPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"C.Govindaraj";"JD(S)";" 18";"10th Pass";"62";"328899975";"34469174";"No";"CHAMRAJAPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Dr. Shivakumar .M";"IND";" 1";"Graduate Professional";"47";"138510000";"13500000";"No";"CHAMRAJAPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Jagadish Chandra C";"AAP";"0";"Post Graduate";"53";"54481140";"5400000";"No";"CHAMRAJAPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Narasimha Murthy";"BSP";"0";"Graduate";"39";"6200000";"16000";"No";"CHAMRAJAPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Pavan Kumar K J";"Karnataka Rashtra Samithi";"0";"Graduate Professional";"26";"86600";"0";"No";"CHAMRAJAPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Rukmangada.S";"Navabharath Sena";" 1";"Graduate";"52";"10000";"0";"No";"CHAMRAJAPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"T.R.Jagannatha Rao";"Bharatiya Prajagala Kalyana Paksha";"0";"12th Pass";"61";"4967000";"0";"No";"CHAMRAJAPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"V.Somasheka";"Uttama Prajaakeeya Party";"0";"Others";"36";"267689";"176292";"No";"CHAMRAJAPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Uday B. Garudachar";"BJP";" 2";"Graduate Professional";"63";"2415933555";"486138787";"Yes";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Arun Prasad A";"BSP";"0";"12th Pass";"49";"102500";"0";"No";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Asgar A.Moheen. S M";"IND";" 1";"12th Pass";"54";"2000000";"0";"No";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Brijesh Kalappa";"AAP";"0";"Graduate Professional";"50";"115296230";"24183948";"No";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"C Nanjundappa";"IND";"0";"8th Pass";"70";"282759";"0";"No";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Imran Pasha";"JD(S)";" 4";"Graduate";"43";"57185000";"4200000";"No";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"K H Nav";"Karnataka Rashtra Samithi";"0";"12th Pass";"46";"3296233";"0";"No";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"M V Vishnu";"Uttama Prajaakeeya Party";"0";"Post Graduate";"26";"2497303";"0";"No";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"M. Srinivasa Murthy";"IND";"0";"10th Pass";"48";"967020";"0";"No";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"P Amarnath";"IND";"0";"Graduate";"45";"19676973";"0";"No";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Preetham Kuma";"IND";" 3";"10th Pass";"38";"25000";"25000";"No";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"R Sheka";"IND";"0";"8th Pass";"51";"2027820";"0";"No";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"R V Devraj";"INC";"0";"Graduate";"65";"978556522";"225057891";"No";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Sunil Shankar. G";"IND";"0";"10th Pass";"41";"505000";"0";"No";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Yousuf Shariff";"IND";" 8";"5th Pass";"55";"16336635438";"653221084";"No";"CHICKPET";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Dinesh Gundu Rao";"INC";"0";"Graduate Professional";"53";"480688573";"63151909";"Yes";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Arun Kumar D";"Indian Movement Party";"0";"10th Pass";"37";"360000";"100000";"No";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Basavaraja M D";"Uttama Prajaakeeya Party";"0";"Others";"33";"492500";"0";"No";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"G Gajendra";"IND";"0";"8th Pass";"46";"60000";"0";"No";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"K Steph";"All India Mahila Empowerment Party";"0";"10th Pass";"67";"560000";"0";"No";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Krishnaiah";"Rashtriya Samaj Dal (R)";"0";"10th Pass";"49";"1285000";"15000";"No";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Krisshnaiah Setty Es En Maluru";"IND";" 2";"12th Pass";"63";"1026084301";"217813600";"No";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"P Basappacha";"IND";"0";"10th Pass";"66";"5495000";"0";"No";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Prakash K";"Karnataka Rashtra Samithi";"0";"Graduate";"43";"2662773";"101555";"No";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Prashanth Kuma";"Janahitha Paksha";"0";"10th Pass";"38";"55000";"0";"No";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Pushpa Rani S";"IND";"0";"10th Pass";"43";"5150000";"150000";"No";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"S Gopinath";"AAP";" 1";"8th Pass";"51";"18410674";"3293762";"No";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"S M Divaka";"Republican Party of India (Athawale)";" 1";"Graduate";"56";"3450000";"500000";"No";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Sapthagiri Gowda A R";"BJP";"0";"Graduate";"43";"233036606";"116629717";"No";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"V Narayanaswamy";"JD(S)";"0";"Graduate Professional";"68";"485627334";"28564254";"No";"GANDHINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"S Suresh Kumar";"BJP";"0";"Graduate Professional";"67";"47813737";"0";"Yes";"RAJAJINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Abhimani Narendra";"IND";"0";"12th Pass";"65";"1360000";"0";"No";"RAJAJINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Akshay K";"Karnataka Rashtra Samithi";"0";"Graduate";"29";"1683500";"7854800";"No";"RAJAJINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"B T Naganna";"AAP";" 1";"Graduate Professional";"54";"177539284";"10154258";"No";"RAJAJINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Bhavya S B";"Indian Movement Party";"0";"12th Pass";"37";"2524000";"94000";"No";"RAJAJINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Chethan Vasista B S";"Rashtriya Samaj Dal (R)";"0";"10th Pass";"33";"1275000";"0";"No";"RAJAJINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Dr.Anjanappa T H";"JD(S)";"0";"Post Graduate";"67";"232077680";"2551098";"No";"RAJAJINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Lingaraju";"IND";"0";"12th Pass";"37";"6337000";"0";"No";"RAJAJINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"M Narasimhalu";"IND";"0";"12th Pass";"64";"6892754";"0";"No";"RAJAJINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Mahesh Rajasheka";"IND";"0";"Post Graduate";"36";"2750000";"2248532";"No";"RAJAJINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Mohan Kumar K";"Uttama Prajaakeeya Party";"0";"Graduate";"43";"1465000";"90000";"No";"RAJAJINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
"Nagaraja.H.N";"IND";"0";"10th Pass";"52";"1190000";"0";"No";"RAJAJINAGAR";"KARNATAKA";"B.B.M.P(CENTRAL)";"2023";"Karnataka";"No Comment"
