"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Anantha Venkatarami Reddy";"YSRCP";"0";"Post Graduate";"62";"86166000";"1888900";"Yes";"ANANTAPUR URBAN";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Amarnath Jangat";"BJP";"0";"12th Pass";"62";"22118454";"6264388";"No";"ANANTAPUR URBAN";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"B. Shivaiah";"Nava Samaj Party";"0";"12th Pass";"40";"80000";"0";"No";"ANANTAPUR URBAN";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"D. Raghavendra";"SUCI(C)";"0";"Graduate";"40";"56488";"0";"No";"ANANTAPUR URBAN";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"G. Nagaraju";"INC";" 2";"Post Graduate";"47";"7609548";"3600000";"No";"ANANTAPUR URBAN";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Goodu Wale Mohammed Rahamthulla";"IUML";"0";"12th Pass";"50";"2514100";"754500";"No";"ANANTAPUR URBAN";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Gooty Balaji Viswanath";"IND";"0";"12th Pass";"56";"3980500";"100000";"No";"ANANTAPUR URBAN";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Katam Karthik";"IND";"0";"Post Graduate";"29";"13541";"0";"No";"ANANTAPUR URBAN";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"P. Venkata Babu Naidu";"IND";"0";"5th Pass";"50";"1108000";"200000";"No";"ANANTAPUR URBAN";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Thummala Varun Chakravarth";"Janasena Party";"0";"Graduate Professional";"32";"9380000";"3700000";"No";"ANANTAPUR URBAN";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Vykuntam Prabhakar Chowdary";"TDP";"0";"Graduate";"59";"107040159";"14801390";"No";"ANANTAPUR URBAN";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Y. Rajesh";"IND";"0";"Graduate";"31";"1016467";"722026";"No";"ANANTAPUR URBAN";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Kethireddy Venkatarami Reddy";"YSRCP";" 7";"Graduate Professional";"38";"50145997";"2949880";"Yes";"DHARMAVARAM";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Chilakam Madhusudhana Reddy";"Janasena Party";" 1";"Graduate";"46";"91359745";"37042865";"No";"DHARMAVARAM";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Enkekaluva Sudharshan Reddy";"BJP";"0";"10th Pass";"41";"2743931";"0";"No";"DHARMAVARAM";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Gaddam Rajagopal";"AIFB";" 1";"8th Pass";"37";"2632911";"607625";"No";"DHARMAVARAM";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Gonuguntla Suryanarayana";"TDP";" 3";"12th Pass";"52";"725410965";"6333781";"No";"DHARMAVARAM";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"P Rajeswa";"Pyramid Party of India";"0";"12th Pass";"31";"25089";"0";"No";"DHARMAVARAM";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"P Venkatarami Reddy";"IND";"0";"Graduate";"56";"945000";"196000";"No";"DHARMAVARAM";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Yallareddy Gari Venkatarama Reddy";"YSRCP";" 2";"Graduate";"60";"34054150";"8650933";"Yes";"GUNTAKAL";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Gopa Hemalatha";"Pyramid Party of India";"0";"12th Pass";"46";"9847889";"1216795";"No";"GUNTAKAL";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"K Prabhaka";"INC";"0";"10th Pass";"52";"58105000";"0";"No";"GUNTAKAL";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Kallamadi Satya Sudarshan Gupta";"IND";"0";"Graduate";"43";"4550426";"1094838";"No";"GUNTAKAL";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Kotrike Madhusuda";"Janasena Party";" 4";"Graduate";"51";"146622069";"19299655";"No";"GUNTAKAL";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"P Harihara Nath";"BJP";"0";"Graduate";"61";"17817100";"1110800";"No";"GUNTAKAL";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"P Venkatesh";"Jai Swaraj Party";"0";"12th Pass";"26";"10000";"0";"No";"GUNTAKAL";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"R Jitendra Gowd";"TDP";"0";"12th Pass";"67";"28160902";"96368";"No";"GUNTAKAL";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"S Ram Moha";"IND";"0";"8th Pass";"52";"600000";"0";"No";"GUNTAKAL";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Tanneeru Sreenivasulu";"IND";"0";"Graduate";"56";"2766762";"0";"No";"GUNTAKAL";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Nandamuri Balakrishna";"TDP";" 2";"Graduate";"58";"2740887314";"155569250";"Yes";"HINDUPUR";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Akula Umesh";"Janasena Party";"0";"10th Pass";"32";"755968";"636338";"No";"HINDUPUR";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Ashoka";"SUCI(C)";"0";"10th Pass";"27";"2471";"0";"No";"HINDUPUR";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Bestha Adinarayana";"IND";"0";"Graduate";"48";"967580";"0";"No";"HINDUPUR";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Dudekula Ghouse Peera";"IND";"0";"Illiterate";"41";"70000";"0";"No";"HINDUPUR";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"M Narasimha Murthy";"IND";"0";"5th Pass";"53";"55000";"0";"No";"HINDUPUR";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"N Narasimha Murthy";"IND";"0";"Graduate";"34";"1064200";"0";"No";"HINDUPUR";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"P D Partha Sarathy";"BJP";"0";"12th Pass";"40";"4611136";"198519";"No";"HINDUPUR";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"Shaik Mohammed Iqbal";"YSRCP";"0";"Post Graduate";"60";"9366041";"936787";"No";"HINDUPUR";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
"T Balaji Manoha";"INC";"0";"12th Pass";"54";"9565000";"760000";"No";"HINDUPUR";"ANDHRA PRADESH";"ANANTAPUR";"2019";"Andhra Pradesh";"No Comment"
