"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Konthoujam Govindas Singh";"BJP";"0";"Graduate";"56";"83217094";"3093815";"Yes";"BISHENPUR";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Ningthoujam Joykumar Singh";"INC";"0";"Graduate Professional";"65";"18589854";"0";"No";"BISHENPUR";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Oinam Nabakishore Singh";"JD(U)";" 1";"Post Graduate";"62";"23775460";"8000000";"No";"BISHENPUR";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Sanasam Premchandra Singh";"BJP";"0";"12th Pass";"46";"15644103";"0";"Yes";"KUMBI";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Ahanthem Shanjoy Singh";"JD(U)";"0";"Graduate";"46";"1586500";"0";"No";"KUMBI";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Dr. Khangembam Romesh Singh";"INC";"0";"Doctorate";"45";"11876024";"3829054";"No";"KUMBI";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Naorem Sorojini Dev";"IND";"0";"12th Pass";"43";"318125";"0";"No";"KUMBI";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Ningthoujam Mangi Singh";"NPP";"0";"Graduate";"71";"39677409";"0";"No";"KUMBI";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Thongam Shanti Singh";"NPP";"0";"12th Pass";"61";"72583157";"0";"Yes";"MOIRANG";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Mairembam Prithviraj Singh";"BJP";" 1";"Post Graduate";"41";"56567797";"6618682";"No";"MOIRANG";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Pukhrem Sharatchandra Singh";"INC";"0";"Post Graduate";"71";"21904693";"1369181";"No";"MOIRANG";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Thounaojam Basanta Kumar Singh";"BJP";"0";"Post Graduate";"57";"43298602";"3953237";"Yes";"NAMBOL";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Nameirakpam Loken Singh";"INC";"0";"Graduate";"53";"96729137";"507311";"No";"NAMBOL";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Irengbam Nalini Devi";"NPP";"0";"Graduate";"61";"21995301";"0";"Yes";"OINAM";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Ashem Babu Singh";"SHS";"0";"Graduate";"49";"2150450";"0";"No";"OINAM";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Laishram Radhakishore Singh";"BJP";"0";"12th Pass";"65";"12347051";"2750100";"No";"OINAM";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Laitonjam Brojen Singh";"Republican Party of India (Athawale)";"0";"Graduate Professional";"52";"2264814";"0";"No";"OINAM";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Ngangom Shivakumar Singh";"IND";"0";"Graduate Professional";"27";"62000";"0";"No";"OINAM";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Thingbaijam Swarankumar Singh";"JD(U)";"0";"Post Graduate";"49";"12597969";"2080825";"No";"OINAM";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Thokchom Ithoibi Dev";"INC";"0";"12th Pass";"41";"3639250";"1818291";"No";"OINAM";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Tongbram Robindro Singh";"BJP";" 4";"12th Pass";"49";"3805616";"482830";"Yes";"THANGA";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Birla Haobijam";"INC";"0";"Post Graduate";"44";"10497129";"2488206";"No";"THANGA";"MANIPUR";"BISHNUPUR";"2022";"Manipur";"No Comment"
"Ss. Olish";"BJP";"0";"Graduate";"44";"9575361";"0";"Yes";"CHANDEL (ST)";"MANIPUR";"CHANDEL";"2022";"Manipur";"No Comment"
"Langhu Paulhring Anal";"NPF";"0";"Post Graduate";"47";"7050000";"0";"No";"CHANDEL (ST)";"MANIPUR";"CHANDEL";"2022";"Manipur";"No Comment"
"Letpao Haokip";"BJP";"0";"Graduate";"45";"42742519";"11739011";"Yes";"TENGNOUPAL (ST)";"MANIPUR";"CHANDEL";"2022";"Manipur";"No Comment"
"D. Korungthang";"NPF";"0";"Graduate";"60";"12776193";"2850060";"No";"TENGNOUPAL (ST)";"MANIPUR";"CHANDEL";"2022";"Manipur";"No Comment"
"Jamkholun Haokip";"IND";" 1";"10th Pass";"56";"610000";"0";"No";"TENGNOUPAL (ST)";"MANIPUR";"CHANDEL";"2022";"Manipur";"No Comment"
"Kh. David Maring";"Republican Party of India (Athawale)";"0";"10th Pass";"56";"0";"0";"No";"TENGNOUPAL (ST)";"MANIPUR";"CHANDEL";"2022";"Manipur";"No Comment"
"Tantanga Kohai Moshilpha";"IND";"0";"Graduate Professional";"54";"11724801";"1078703";"No";"TENGNOUPAL (ST)";"MANIPUR";"CHANDEL";"2022";"Manipur";"No Comment"
"airok Morung Makunga";"INC";"0";"Graduate";"62";"7513144";"1158734";"No";"TENGNOUPAL (ST)";"MANIPUR";"CHANDEL";"2022";"Manipur";"No Comment"
"L.M. Khaute";"JD(U)";"0";"Post Graduate";"60";"73631600";"1049590";"Yes";"CHURACHANDPUR (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
"Dr. Jainson Haokip D.D.";"Kuki National Assembly";"0";"Graduate";"74";"8303749";"0";"No";"CHURACHANDPUR (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
"H. Mangchinkhup Pait";"INC";"0";"Graduate Professional";"56";"21550935";"0";"No";"CHURACHANDPUR (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
"H.Lianchinthang";"Lok Janshakti Party(Ram Vilas)";"0";"12th Pass";"60";"2550000";"0";"No";"CHURACHANDPUR (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
"James Khuma Hauzel";"IND";"0";"Post Graduate";"48";"2818211";"340449";"No";"CHURACHANDPUR (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
"Th. Thangzalia";"NPP";"0";"12th Pass";"53";"8909252";"0";"No";"CHURACHANDPUR (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
"V Hangkhanlia";"BJP";"0";"Graduate";"60";"79269151";"1211699";"No";"CHURACHANDPUR (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
"Letzamang Haokip";"BJP";"0";"Post Graduate";"47";"6754939";"0";"Yes";"HENGLEP (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
"Genneikhup";"JD(U)";"0";"Graduate";"58";"1051141";"0";"No";"HENGLEP (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
"Nehminthang Haokip";"NPP";"0";"10th Pass";"47";"20499537";"0";"No";"HENGLEP (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
"Sehpu Haokip";"IND";" 1";"Graduate";"64";"186156000";"1137000";"No";"HENGLEP (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
"T. Manga Vaiph";"INC";"0";"Graduate Professional";"64";"53565452";"441400";"No";"HENGLEP (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
"T. Thangzalam Haokip";"SHS";"0";"Graduate";"67";"59861792";"1191790";"No";"HENGLEP (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
"Paolienlal Haokip";"BJP";"0";"Post Graduate";"47";"9408143";"0";"Yes";"SAIKOT (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
"George T. Haokip";"NCP";" 1";"Doctorate";"41";"2504664";"796993";"No";"SAIKOT (ST)";"MANIPUR";"CHURACHANDPUR";"2022";"Manipur";"No Comment"
