"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Madhav Singh";"BJP";"0";"12th Pass";"49";"83683820";"5763672";"Yes";"AGAR (SC)";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Amit Pathrod";"IND";"0";"12th Pass";"37";"1463000";"0";"No";"AGAR (SC)";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Dr.Gangaram Jogchand";"BSP";"0";"12th Pass";"48";"5853500";"0";"No";"AGAR (SC)";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Dr.Jagdish Peerulal Malviya";"IND";"0";"Graduate Professional";"44";"468933";"0";"No";"AGAR (SC)";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Kelash Chandr Malviya";"SP";"0";"8th Pass";"54";"2063154";"25000";"No";"AGAR (SC)";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Mohan Bodana";"IND";"0";"Graduate";"32";"3901000";"0";"No";"AGAR (SC)";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Premnarayan Malviya";"IND";"0";"5th Pass";"50";"266318";"0";"No";"AGAR (SC)";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Suresh Malviya";"IND";"0";"Literate";"37";"97000";"0";"No";"AGAR (SC)";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Vipin Wankhed";"INC";" 11";"Graduate";"35";"6071914";"448000";"No";"AGAR (SC)";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Bhairon Singh (Bapu)";"INC";" 2";"10th Pass";"52";"51639806";"4712304";"Yes";"SUSNER";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Jitu Patida";"IND";" 2";"Post Graduate";"34";"2716224";"0";"No";"SUSNER";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Mohsin Bhanej";"IND";"0";"8th Pass";"35";"205000";"0";"No";"SUSNER";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Naveen Mishra";"BSP";"0";"12th Pass";"54";"1399467";"8003194";"No";"SUSNER";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Rameshwar Mandlo";"IND";"0";"12th Pass";"44";"710500";"400000";"No";"SUSNER";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Santosh Josh";"IND";"0";"10th Pass";"58";"6658250";"0";"No";"SUSNER";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Vikram Singh ( Rana )";"IND";"0";"10th Pass";"36";"2206208";"58742";"No";"SUSNER";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Vikram Singh Rana Alias Guddu Bhaiya";"BJP";"0";"Graduate";"58";"25270805";"14105841";"No";"SUSNER";"MADHYA PRADESH";"AGAR-MALWA";"2023";"Madhya Pradesh";"No Comment"
"Chouhan Nagar Singh";"BJP";" 1";"Graduate";"45";"46090240";"691000";"Yes";"ALIRAJPUR (ST)";"MADHYA PRADESH";"ALIRAJPUR";"2023";"Madhya Pradesh";"No Comment"
"Antar Singh Patel";"BSP";"0";"Post Graduate";"43";"3490000";"1135000";"No";"ALIRAJPUR (ST)";"MADHYA PRADESH";"ALIRAJPUR";"2023";"Madhya Pradesh";"No Comment"
"Hirla Chouha";"IND";"0";"5th Pass";"48";"3156000";"0";"No";"ALIRAJPUR (ST)";"MADHYA PRADESH";"ALIRAJPUR";"2023";"Madhya Pradesh";"No Comment"
"Mukesh Patel";"INC";" 1";"12th Pass";"45";"28475792";"4908534";"No";"ALIRAJPUR (ST)";"MADHYA PRADESH";"ALIRAJPUR";"2023";"Madhya Pradesh";"No Comment"
"Nawal Singh Mandlo";"IND";"0";"12th Pass";"48";"22545432";"7850000";"No";"ALIRAJPUR (ST)";"MADHYA PRADESH";"ALIRAJPUR";"2023";"Madhya Pradesh";"No Comment"
"Surendra Thakrala";"IND";"0";"10th Pass";"41";"4655000";"45000";"No";"ALIRAJPUR (ST)";"MADHYA PRADESH";"ALIRAJPUR";"2023";"Madhya Pradesh";"No Comment"
"Sena Mahesh Patel";"INC";" 2";"Graduate";"47";"42009745";"7590030";"Yes";"JOBAT (ST)";"MADHYA PRADESH";"ALIRAJPUR";"2023";"Madhya Pradesh";"No Comment"
"Ajnar Surpal Singh";"IND";"0";"10th Pass";"47";"45281379";"12777655";"No";"JOBAT (ST)";"MADHYA PRADESH";"ALIRAJPUR";"2023";"Madhya Pradesh";"No Comment"
"Dawar Rinku Bala";"IND";"0";"12th Pass";"32";"1702371";"883098";"No";"JOBAT (ST)";"MADHYA PRADESH";"ALIRAJPUR";"2023";"Madhya Pradesh";"No Comment"
"Dileep Singh Bhuriya";"IND";" 1";"12th Pass";"41";"4147440";"920957";"No";"JOBAT (ST)";"MADHYA PRADESH";"ALIRAJPUR";"2023";"Madhya Pradesh";"No Comment"
"Madhosingh Dawa";"IND";"0";"Graduate";"71";"24407759";"257744";"No";"JOBAT (ST)";"MADHYA PRADESH";"ALIRAJPUR";"2023";"Madhya Pradesh";"No Comment"
"Mohansingh Ningwal";"Bhartiya Samajik Party";"0";"Post Graduate";"55";"14520000";"0";"No";"JOBAT (ST)";"MADHYA PRADESH";"ALIRAJPUR";"2023";"Madhya Pradesh";"No Comment"
"Vishal Rawat";"BJP";"0";"Graduate";"44";"9908702";"2636100";"No";"JOBAT (ST)";"MADHYA PRADESH";"ALIRAJPUR";"2023";"Madhya Pradesh";"No Comment"
"Bisahu Lal Singh";"BJP";" 12";"Graduate";"73";"149072715";"10519380";"Yes";"ANUPPUR (ST)";"MADHYA PRADESH";"ANUPPUR";"2023";"Madhya Pradesh";"No Comment"
"Gunjaan Singh";"IND";"0";"8th Pass";"37";"50000";"0";"No";"ANUPPUR (ST)";"MADHYA PRADESH";"ANUPPUR";"2023";"Madhya Pradesh";"No Comment"
"Rajendra Prasad Kol";"IND";"0";"12th Pass";"27";"4020000";"0";"No";"ANUPPUR (ST)";"MADHYA PRADESH";"ANUPPUR";"2023";"Madhya Pradesh";"No Comment"
"Ramesh Kumar Singh";"INC";"0";"Graduate Professional";"48";"33984101";"7750000";"No";"ANUPPUR (ST)";"MADHYA PRADESH";"ANUPPUR";"2023";"Madhya Pradesh";"No Comment"
