"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Dasanglu Pul";"BJP";"0";"12th Pass";"46";"104988837";"0";"No";"HAYULIANG (ST)";"ARUNACHAL PRADESH";"ANJAW";"2024";"Arunachal Pradesh";"No Comment"
"Biri Joy";"Peoples Party of Arunachal";" 1";"Graduate";"42";"19000000";"0";"No";"BORDUMSA-DIYUM";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Madan Tant";"Arunachal Democratic Party";"0";"5th Pass";"42";"40000";"0";"No";"BORDUMSA-DIYUM";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Nikh Kam";"NCP";" 3";"Graduate";"57";"1533143903";"0";"No";"BORDUMSA-DIYUM";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Somlung Mossang";"BJP";"0";"10th Pass";"54";"19960286";"0";"No";"BORDUMSA-DIYUM";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Upen Chandra Deo";"IND";"0";"Graduate Professional";"60";"26738528";"513657";"No";"BORDUMSA-DIYUM";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Dihom Kitnya";"National Peoples Party";"0";"12th Pass";"36";"447548";"0";"No";"CHANGLANG NORTH (ST)";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Marina Kenglang";"INC";"0";"Graduate";"51";"22236027";"2177215";"No";"CHANGLANG NORTH (ST)";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Nyasam Jongsam";"NCP";"0";"Graduate";"50";"4213499";"2000000";"No";"CHANGLANG NORTH (ST)";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Tesam Pongt";"BJP";"0";"Graduate";"49";"54669468";"0";"No";"CHANGLANG NORTH (ST)";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Hamjong Tangha";"BJP";"0";"8th Pass";"47";"2739397";"0";"No";"CHANGLANG SOUTH (ST)";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Salman Salnang Mungrey";"NCP";"0";"Graduate Professional";"33";"3214630";"243014";"No";"CHANGLANG SOUTH (ST)";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Timpu Ngemu";"National Peoples Party";"0";"12th Pass";"37";"5882375";"1000000";"No";"CHANGLANG SOUTH (ST)";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Chatu Long";"INC";"0";"Graduate";"57";"17276325";"0";"No";"MIAO (ST)";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Kamlung Mosang";"BJP";"0";"Graduate Professional";"61";"81934416";"0";"No";"MIAO (ST)";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Izmir Tikhak";"BJP";"0";"Graduate";"60";"88386358";"0";"No";"NAMPONG (ST)";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Khimshom Mossang";"INC";"0";"Graduate";"34";"2737513";"1390241";"No";"NAMPONG (ST)";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Laisam Sima";"IND";"0";"Graduate";"49";"37927980";"0";"No";"NAMPONG (ST)";"ARUNACHAL PRADESH";"CHANGLANG";"2024";"Arunachal Pradesh";"No Comment"
"Eri Tayu";"IND";" 1";"12th Pass";"55";"12062292";"0";"No";"ANINI (ST)";"ARUNACHAL PRADESH";"DIBANG VALLEY";"2024";"Arunachal Pradesh";"No Comment"
"Mopi Mihu";"BJP";"0";"5th Pass";"52";"212123116";"0";"No";"ANINI (ST)";"ARUNACHAL PRADESH";"DIBANG VALLEY";"2024";"Arunachal Pradesh";"No Comment"
"Doba Lamnio";"BJP";" 4";"5th Pass";"43";"117285495";"9360000";"No";"BAMENG (ST)";"ARUNACHAL PRADESH";"EAST KAMENG";"2024";"Arunachal Pradesh";"No Comment"
"Kumar Wa";"INC";"0";"10th Pass";"52";"407622213";"33661000";"No";"BAMENG (ST)";"ARUNACHAL PRADESH";"EAST KAMENG";"2024";"Arunachal Pradesh";"No Comment"
"Hayeng Mangf";"BJP";"0";"Graduate Professional";"48";"380816587";"170375622";"No";"CHYANGTAJO (ST)";"ARUNACHAL PRADESH";"EAST KAMENG";"2024";"Arunachal Pradesh";"No Comment"
"Kompu Dolo";"INC";"0";"12th Pass";"62";"17139880";"0";"No";"CHYANGTAJO (ST)";"ARUNACHAL PRADESH";"EAST KAMENG";"2024";"Arunachal Pradesh";"No Comment"
"Ealing Tallang";"BJP";"0";"Graduate";"47";"90087934";"0";"No";"SEPPA EAST (ST)";"ARUNACHAL PRADESH";"EAST KAMENG";"2024";"Arunachal Pradesh";"No Comment"
"Tame Gyad";"INC";"0";"10th Pass";"51";"39997651";"0";"No";"SEPPA EAST (ST)";"ARUNACHAL PRADESH";"EAST KAMENG";"2024";"Arunachal Pradesh";"No Comment"
