"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Trilok Jamwal";"BJP";"0";"Post Graduate";"48";"30244106";"759623";"Yes";"BILASPUR";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Amar Nath";"BSP";"0";"10th Pass";"60";"148142298";"1300000";"No";"BILASPUR";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Amar Singh";"AAP";" 1";"Graduate";"49";"96945400";"550000";"No";"BILASPUR";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Bal Ram";"Swabhiman Party";"0";"Graduate Professional";"47";"83402500";"820000";"No";"BILASPUR";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Bumber Thaku";"INC";" 2";"Graduate Professional";"55";"89528229";"5561994";"No";"BILASPUR";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Lata Chandel";"IND";"0";"12th Pass";"47";"954199";"0";"No";"BILASPUR";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Piyush Kanga";"IND";"0";"Post Graduate";"26";"680610";"0";"No";"BILASPUR";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Puja Pal";"Rashtriya Devbhumi Party";"0";"Graduate Professional";"44";"135115075";"45000000";"No";"BILASPUR";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Subhash Sharma";"IND";"0";"Post Graduate";"51";"8153547";"2297155";"No";"BILASPUR";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Rajesh Dharmani";"INC";" 1";"Post Graduate";"50";"13294907";"365614";"Yes";"GHUMARWIN";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Manohar Lal";"IND";" 2";"10th Pass";"41";"7504119";"1490405";"No";"GHUMARWIN";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Nand Lal";"IND";"0";"10th Pass";"63";"10841326";"500000";"No";"GHUMARWIN";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Prem Lal Banga";"BSP";"0";"10th Pass";"67";"8319450";"0";"No";"GHUMARWIN";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Rajinder Garg";"BJP";"0";"Post Graduate";"56";"38696510";"1727850";"No";"GHUMARWIN";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Rakesh Kumar Chopra";"AAP";"0";"10th Pass";"57";"216720892";"87601241";"No";"GHUMARWIN";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Varun Kumar Thaku";"IND";" 2";"Others";"35";"25263";"0";"No";"GHUMARWIN";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Yogesh Thaku";"Rashtriya Devbhumi Party";" 1";"12th Pass";"42";"20200100";"0";"No";"GHUMARWIN";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Jeet Ram Katwal";"BJP";" 1";"Post Graduate";"66";"34227344";"1952760";"Yes";"JHANDUTA (SC)";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Amar Nath";"BSP";"0";"10th Pass";"61";"22087458";"1300000";"No";"JHANDUTA (SC)";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Jitender Pal";"IND";"0";"12th Pass";"48";"421753";"0";"No";"JHANDUTA (SC)";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Manoj Kuma";"Rashtriya Devbhumi Party";"0";"Graduate";"49";"1490853";"0";"No";"JHANDUTA (SC)";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Raj Kuma";"IND";"0";"Graduate Professional";"51";"17228857";"681912";"No";"JHANDUTA (SC)";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Sudhir Kuma";"AAP";"0";"Post Graduate";"38";"2857000";"453817";"No";"JHANDUTA (SC)";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Vivek Kuma";"INC";" 3";"Graduate Professional";"41";"6922669";"1547972";"No";"JHANDUTA (SC)";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Randhir Sharma";"BJP";"0";"Post Graduate";"58";"55840585";"1200000";"Yes";"SRI NAINA DEVIJI";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Bhag Singh";"CPI";"0";"Post Graduate";"62";"7126000";"1375000";"No";"SRI NAINA DEVIJI";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Deepak Kuma";"Rashtriya Devbhumi Party";"0";"12th Pass";"33";"874314";"75917";"No";"SRI NAINA DEVIJI";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Narinder Singh";"AAP";"0";"Graduate";"41";"2057491";"448332";"No";"SRI NAINA DEVIJI";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Ram Lal Thaku";"INC";" 3";"Graduate Professional";"71";"53534401";"2828448";"No";"SRI NAINA DEVIJI";"HIMACHAL PRADESH";"BILASPUR";"2022";"Himachal Pradesh";"No Comment"
"Dr. Janak Raj";"BJP";"0";"Post Graduate";"43";"51434104";"8194556";"Yes";"BHARMOUR (ST)";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Parkash Chand";"AAP";"0";"Post Graduate";"58";"8138000";"900000";"No";"BHARMOUR (ST)";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Puja";"Himachal Jan Kranti Party";"0";"Graduate";"29";"635917";"0";"No";"BHARMOUR (ST)";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Rasila Ram";"Himachal Janta Party";"0";"Graduate";"48";"2335426";"400000";"No";"BHARMOUR (ST)";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Thakur Singh Bharmou";"INC";" 1";"Graduate";"75";"100757940";"9682615";"No";"BHARMOUR (ST)";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Kuldeep Singh Pathania";"INC";" 1";"Graduate Professional";"65";"86330489";"1574346";"Yes";"BHATTIYAT";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Amrita Chaudhry";"Hindu Samaj Party";"0";"12th Pass";"35";"5500";"11000";"No";"BHATTIYAT";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Bikram Singh";"BJP";" 2";"Graduate";"61";"4941130";"12999806";"No";"BHATTIYAT";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Naresh Kuma";"AAP";" 1";"Graduate";"45";"12374000";"2600000";"No";"BHATTIYAT";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Nirmal Singh";"IND";"0";"Post Graduate";"39";"3508934";"77383";"No";"BHATTIYAT";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Neeraj Nayar";"INC";" 1";"Graduate";"51";"85655643";"39880496";"Yes";"CHAMBA";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Indira";"IND";" 1";"12th Pass";"47";"7242239";"2200000";"No";"CHAMBA";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Neelam Nayya";"BJP";"0";"Graduate";"60";"59671042";"3637072";"No";"CHAMBA";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Paras Ram";"BSP";"0";"12th Pass";"49";"2244000";"0";"No";"CHAMBA";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Shasi Kant";"AAP";"0";"Graduate Professional";"39";"9245000";"2497000";"No";"CHAMBA";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Uttam Chand";"Bhartiya Veer Dal";" 5";"12th Pass";"34";"782800";"96000";"No";"CHAMBA";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Hans Raj";"BJP";" 2";"Doctorate";"39";"22954981";"3655656";"Yes";"CHURAH (SC)";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Nand Kumar Jaryal";"AAP";"0";"Post Graduate";"35";"628000";"314000";"No";"CHURAH (SC)";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Yashwant Singh";"INC";"0";"Post Graduate";"43";"1745186";"42984";"No";"CHURAH (SC)";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Dhavinder Singh";"BJP";"0";"10th Pass";"55";"156749714";"7489862";"Yes";"DALHOUSIE";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Asha Kuma";"INC";" 1";"Graduate";"67";"54031819";"3294708";"No";"DALHOUSIE";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Ashok Kumar Bakaria";"Rashtriya Devbhumi Party";"0";"Graduate Professional";"54";"7053000";"2200000";"No";"DALHOUSIE";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Manish Sa";"AAP";"0";"Graduate Professional";"34";"571100";"950000";"No";"DALHOUSIE";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
"Rinku";"IND";"0";"Graduate";"35";"826450";"1626943";"No";"DALHOUSIE";"HIMACHAL PRADESH";"CHAMBA";"2022";"Himachal Pradesh";"No Comment"
