"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Chitta Ranjan Debbarma";"Tipra Motha Party";"0";"Post Graduate";"62";"19268445";"0";"Yes";"AMBASSA (ST)";"TRIPURA";"DHALAI";"2023";"Tripura";"No Comment"
"Amalendu Debbarma";"CPI(M)";"0";"12th Pass";"50";"1250778";"18739";"No";"AMBASSA (ST)";"TRIPURA";"DHALAI";"2023";"Tripura";"No Comment"
"Chandan Mogchoudhury";"AITC";"0";"10th Pass";"61";"265000";"0";"No";"AMBASSA (ST)";"TRIPURA";"DHALAI";"2023";"Tripura";"No Comment"
"Karnadhan Chakma";"IND";"0";"8th Pass";"51";"512500";"0";"No";"AMBASSA (ST)";"TRIPURA";"DHALAI";"2023";"Tripura";"No Comment"
"Krishna Kumar Debbarma";"IND";"0";"8th Pass";"80";"2490000";"0";"No";"AMBASSA (ST)";"TRIPURA";"DHALAI";"2023";"Tripura";"No Comment"
"Suchitra Debbarma";"BJP";"0";"8th Pass";"37";"557954";"135800";"No";"AMBASSA (ST)";"TRIPURA";"DHALAI";"2023";"Tripura";"No Comment"
"Sambhu Lal Chakma";"BJP";"0";"Graduate Professional";"33";"1572543";"2390257";"Yes";"CHAWMANU (ST)";"TRIPURA";"DHALAI";"2023";"Tripura";"No Comment"
"Barjeda Tripura";"Nationalist Citizens Party of India";"0";"8th Pass";"62";"490000";"0";"No";"CHAWMANU (ST)";"TRIPURA";"DHALAI";"2023";"Tripura";"No Comment"
"Hangsa Kumar Tripura";"Tipra Motha Party";"0";"8th Pass";"40";"70789";"20000";"No";"CHAWMANU (ST)";"TRIPURA";"DHALAI";"2023";"Tripura";"No Comment"
"Jiban Mohan Tripura";"CPI(M)";" 1";"10th Pass";"48";"100600";"0";"No";"CHAWMANU (ST)";"TRIPURA";"DHALAI";"2023";"Tripura";"No Comment"
