"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Rajanikant Singh";"BJD";"0";"Post Graduate";"64";"29646512";"1646072";"Yes";"ANGUL";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Anil Bho";"Ambedkarite Party of India";"0";"10th Pass";"37";"2500";"0";"No";"ANGUL";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Biplab Kumar Jena";"INC";"0";"Others";"51";"66720826";"4694247";"No";"ANGUL";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Duryodhan Naik";"Rashtriya Indepndent Morcha";"0";"8th Pass";"26";"139764";"0";"No";"ANGUL";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Laxman Kumar Sahu";"IND";"0";"Graduate";"46";"507352";"370000";"No";"ANGUL";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Mandodari Roul";"SUCI(C)";"0";"12th Pass";"41";"5700";"0";"No";"ANGUL";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Pratap Chandra Pradha";"BJP";" 3";"Graduate";"49";"6796065";"2838355";"No";"ANGUL";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Santosh Kumar Naik";"IND";"0";"5th Pass";"29";"30000";"0";"No";"ANGUL";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Sukanta Kumar Nath";"Hindusthan Nirman Dal";" 2";"Graduate";"48";"7439620";"0";"No";"ANGUL";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Trilochan Naik";"BSP";" 1";"12th Pass";"42";"13712209";"490000";"No";"ANGUL";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Ramesh Chandra Sai";"BJD";"0";"Graduate";"55";"18294000";"682274";"Yes";"ATHAMALLIK";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Bhagirathi Pradha";"BJP";" 8";"Graduate";"54";"22976213";"815128";"No";"ATHAMALLIK";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Bijayananda Chaulia";"INC";"0";"Post Graduate";"44";"16740928";"910953";"No";"ATHAMALLIK";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Hrusikesh Luha";"BSP";"0";"12th Pass";"45";"1598181";"0";"No";"ATHAMALLIK";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Ramani Ranjan Pradha";"SUCI(C)";" 3";"Graduate";"37";"1447211";"17785";"No";"ATHAMALLIK";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Sarat Chandra Mahapatra";"IND";"0";"5th Pass";"60";"170000";"0";"No";"ATHAMALLIK";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Susanta Kumar Behera";"BJD";"0";"Graduate";"50";"117076573";"7077955";"Yes";"CHHENDIPADA";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
"Agasti Behera";"BJP";" 1";"Post Graduate";"43";"850619";"63280";"No";"CHHENDIPADA";"ODISHA";"ANGUL";"2019";"Odisha";"No Comment"
