"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Imran Hussain";"AAP";"0";"Graduate Professional";"38";"14137344";"2846840";"Yes";"BALLIMARAN";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Arif Nab";"IND";"0";"Graduate";"35";"1032210";"0";"No";"BALLIMARAN";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Deep Chand";"Bahujan Samaj Party";"0";"5th Pass";"45";"363000";"30000";"No";"BALLIMARAN";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Hansa";"Peoples Party of India (Democratic)";"0";"Graduate Professional";"42";"1690892";"350000";"No";"BALLIMARAN";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Haroon Yusuf";"INC";"0";"Graduate";"61";"46971817";"0";"No";"BALLIMARAN";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Krishan Kuma";"Bhartiya Rashtriya Dal";"0";"5th Pass";"49";"2529273";"0";"No";"BALLIMARAN";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Lata";"BJP";"0";"8th Pass";"43";"4466910";"0";"No";"BALLIMARAN";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Sajid Al";"Rashtriya Rashtrawadi Party";"0";"10th Pass";"62";"112443";"0";"No";"BALLIMARAN";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Zafar Mirza";"Rashtriya Republican Party";"0";"8th Pass";"56";"59000";"0";"No";"BALLIMARAN";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Parlad Singh Sawhney";"AAP";"0";"12th Pass";"69";"418565734";"50677492";"Yes";"CHANDNI CHOWK";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Alka Lamba";"INC";"0";"Post Graduate";"44";"33927451";"0";"No";"CHANDNI CHOWK";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Anil Singh Jado";"SHS";"0";"10th Pass";"35";"11361000";"750000";"No";"CHANDNI CHOWK";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Krishna Avta";"IND";"0";"5th Pass";"58";"17000";"0";"No";"CHANDNI CHOWK";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Ramesh Chand Goyal";"Rashtravadi Janata Party";"0";"8th Pass";"70";"2529700";"0";"No";"CHANDNI CHOWK";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Sadeque Muniroddin Shaikh";"Tipu Sultan Party";"0";"Post Graduate";"32";"353000";"0";"No";"CHANDNI CHOWK";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Sandeep Sharma";"IND";"0";"Graduate Professional";"52";"18085756";"0";"No";"CHANDNI CHOWK";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Satpal";"Asankhya Samaj Party";"0";"Graduate";"30";"2020000";"0";"No";"CHANDNI CHOWK";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Sudesh";"BSP";"0";"8th Pass";"47";"1958300";"0";"No";"CHANDNI CHOWK";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Suman Kumar Gupta";"BJP";"0";"Graduate";"63";"24142079";"59605";"No";"CHANDNI CHOWK";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Vijay Kumar Sharma";"IND";"0";"Graduate";"41";"160789";"243943";"No";"CHANDNI CHOWK";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Vipin Kumar Gupta";"IND";"0";"12th Pass";"64";"8192825";"0";"No";"CHANDNI CHOWK";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Vishesh Ravi";"AAP";"0";"10th Pass";"36";"1914540";"0";"Yes";"KAROL BAGH";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Deepak Kuma";"IND";"0";"8th Pass";"37";"22000";"0";"No";"KAROL BAGH";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Dharmender Kanwa";"IND";"0";"8th Pass";"34";"489278";"238846";"No";"KAROL BAGH";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Gaurav";"SHS";" 1";"Post Graduate";"0";"1415100";"40000";"No";"KAROL BAGH";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
"Gourav Kuma";"INC";" 1";"12th Pass";"34";"3029000";"0";"No";"KAROL BAGH";"DELHI";"CENTRAL";"2020";"Delhi";"No Comment"
