"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Phanidhar Talukdar";"BJP";" 2";"12th Pass";"55";"107812804";"12365742";"Yes";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"BYE ELECTION ON 30-10-2021"
"Ariful Islam";"IND";"0";"5th Pass";"26";"23300";"0";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"BYE ELECTION ON 30-10-2021"
"Jubbar Al";"AIUDF";"0";"Post Graduate";"37";"543975";"0";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"BYE ELECTION ON 30-10-2021"
"Khampha Khungur Goyary";"IND";"0";"12th Pass";"31";"31000";"0";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"BYE ELECTION ON 30-10-2021"
"Merajul Haqu";"The National Road Map Party of India";"0";"8th Pass";"28";"400000";"0";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"BYE ELECTION ON 30-10-2021"
"Sailendra Nath Das";"INC";"0";"Graduate Professional";"66";"6506059";"0";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"BYE ELECTION ON 30-10-2021"
"Shawkat Ali Ahmed";"IND";"0";"Graduate";"60";"17068545";"264000";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"BYE ELECTION ON 30-10-2021"
"Siben Das";"Voters Party International";"0";"12th Pass";"48";"85000";"0";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"BYE ELECTION ON 30-10-2021"
"Phanidhar Talukdar";"AIUDF";" 1";"12th Pass";"54";"114061220";"23509912";"Yes";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Abul Kalam Azad";"IND";"0";"10th Pass";"56";"10164503";"0";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Anowar Uddin Ahmed";"RPI(A)";" 1";"Post Graduate";"40";"839072";"0";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Binoy Kherkatary";"IND";"0";"Post Graduate";"44";"367000";"0";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Hasen Al";"Voters Party International";" 1";"10th Pass";"66";"1232685";"0";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Kamal Kumar Medh";"IND";" 6";"Post Graduate";"43";"2286706";"1070924";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Makhan Swargiary";"IND";"0";"10th Pass";"49";"13758983";"0";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Md. Rahman Al";"IND";"0";"12th Pass";"27";"1022000";"135640";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Ranjit Deka";"AGP";"0";"Doctorate";"55";"64032941";"33963508";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Ruhul Am";"IND";"0";"12th Pass";"30";"107500";"0";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Satya Chandra Arjya";"Bharatiya Gana Parishad";"0";"10th Pass";"42";"2853649";"0";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Suban Al";"IND";"0";"Literate";"51";"575000";"94000";"No";"BHABANIPUR";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Ranjeet Kumar Dass";"BJP";"0";"Post Graduate";"54";"58727783";"11204985";"Yes";"PATACHARKUCHI";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Chakra Pani Medh";"IND";" 1";"12th Pass";"45";"3119331";"0";"No";"PATACHARKUCHI";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Krishnamani Das";"RPI(A)";"0";"12th Pass";"26";"110000";"0";"No";"PATACHARKUCHI";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
"Pabindra Deka";"Assam Jatiya Parishad";"0";"Graduate";"70";"17482158";"919011";"No";"PATACHARKUCHI";"ASSAM";"BAJALI";"2021";"Assam";"No Comment"
