"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Dr. Hasmukh Patel";"BJP";"0";"Post Graduate";"54";"8695913";"2000000";"Yes";"AMRAIWADI";"GUJARAT";"AHMEDABAD";"2022";"Gujarat";"No Comment"
"Baghel Rajesh Vishvanathsingh";"Vikas India Party";" 1";"Graduate Professional";"44";"477064";"13858";"No";"AMRAIWADI";"GUJARAT";"AHMEDABAD";"2022";"Gujarat";"No Comment"
"Bharat Ja";"Jan Sewa Driver Party";"0";"5th Pass";"34";"602449";"185399";"No";"AMRAIWADI";"GUJARAT";"AHMEDABAD";"2022";"Gujarat";"No Comment"
"Bharwad Anilkumar Jitubhai (Anil Amdavadi)";"Bahujan Republican Socialist Party";"0";"12th Pass";"40";"2727000";"0";"No";"AMRAIWADI";"GUJARAT";"AHMEDABAD";"2022";"Gujarat";"No Comment"
"Bhatt Sunilkumar Narendrabha";"Right to Recall Party";"0";"Post Graduate";"42";"1735949";"0";"No";"AMRAIWADI";"GUJARAT";"AHMEDABAD";"2022";"Gujarat";"No Comment"
"Dharmendrabhai Shantilal Patel";"INC";"0";"12th Pass";"47";"95793227";"36256625";"No";"AMRAIWADI";"GUJARAT";"AHMEDABAD";"2022";"Gujarat";"No Comment"
"Gautambhai Sadabhai Parma";"Garvi Gujarat Party";"0";"Graduate";"44";"473787";"102691";"No";"AMRAIWADI";"GUJARAT";"AHMEDABAD";"2022";"Gujarat";"No Comment"
"Gyanendra Dayanand Vishwakarma";"SP";"0";"10th Pass";"39";"100000";"0";"No";"AMRAIWADI";"GUJARAT";"AHMEDABAD";"2022";"Gujarat";"No Comment"
"Neeraj Shivsagar Shukla";"Jan Sangharsh Virat Party";"0";"12th Pass";"31";"576230";"46022";"No";"AMRAIWADI";"GUJARAT";"AHMEDABAD";"2022";"Gujarat";"No Comment"
"Parmar Bakulaben Ukabha";"Rashtra Nirman Party";"0";"5th Pass";"52";"1711800";"0";"No";"AMRAIWADI";"GUJARAT";"AHMEDABAD";"2022";"Gujarat";"No Comment"
"Parmar Rameshbhai Kishorbha";"CPI";"0";"Graduate";"66";"1184900";"0";"No";"AMRAIWADI";"GUJARAT";"AHMEDABAD";"2022";"Gujarat";"No Comment"
"Patel Maheshkumar Somabha";"Pachchasi Parivartan Samaj Party";"0";"10th Pass";"44";"4800000";"0";"No";"AMRAIWADI";"GUJARAT";"AHMEDABAD";"2022";"Gujarat";"No Comment"
