"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Rajendra Prasad Singh";"INC";"0";"12th Pass";"73";"134376381";"0";"Yes";"BERMO";"JHARKHAND";"BOKARO";"2019";"Jharkhand";"No Comment"
"Alam Ansa";"IND";"0";"8th Pass";"48";"1432603";"40000";"No";"BERMO";"JHARKHAND";"BOKARO";"2019";"Jharkhand";"No Comment"
"Baijnath Gora";"SHS";"0";"Graduate";"44";"4121000";"125000";"No";"BERMO";"JHARKHAND";"BOKARO";"2019";"Jharkhand";"No Comment"
"Chandan Kuma";"Peoples Party of India (Democratic)";" 1";"10th Pass";"27";"490000";"0";"No";"BERMO";"JHARKHAND";"BOKARO";"2019";"Jharkhand";"No Comment"
"Gangadhar Prajapat";"IND";"0";"Graduate";"49";"258900";"0";"No";"BERMO";"JHARKHAND";"BOKARO";"2019";"Jharkhand";"No Comment"
"Kailash Chandra Mahto";"IND";"0";"10th Pass";"57";"37500";"0";"No";"BERMO";"JHARKHAND";"BOKARO";"2019";"Jharkhand";"No Comment"
"Kaleshwar Ravidas";"RPI(A)";"0";"10th Pass";"33";"91000";"20000";"No";"BERMO";"JHARKHAND";"BOKARO";"2019";"Jharkhand";"No Comment"
"Kashi Nath Singh";"AJSU Party";" 2";"12th Pass";"55";"25209000";"1165000";"No";"BERMO";"JHARKHAND";"BOKARO";"2019";"Jharkhand";"No Comment"
"Khirodhar Kisku";"IND";"0";"12th Pass";"29";"5618000";"100000";"No";"BERMO";"JHARKHAND";"BOKARO";"2019";"Jharkhand";"No Comment"
"Md. Aftab Alam Kha";"CPI";"0";"Graduate Professional";"43";"2008760";"0";"No";"BERMO";"JHARKHAND";"BOKARO";"2019";"Jharkhand";"No Comment"
"Nitu Singh";"IND";" 1";"Graduate";"44";"5352556";"0";"No";"BERMO";"JHARKHAND";"BOKARO";"2019";"Jharkhand";"No Comment"
"Ram Bhajan Layak";"IND";"0";"5th Pass";"60";"6016500";"0";"No";"BERMO";"JHARKHAND";"BOKARO";"2019";"Jharkhand";"No Comment"
"Ram Kinkar Pandey";"JVM(P)";"0";"Graduate";"45";"1150820";"1638272";"No";"BERMO";"JHARKHAND";"BOKARO";"2019";"Jharkhand";"No Comment"
"Sabita Dev";"Jharkhand Party (Secular)";"0";"10th Pass";"38";"838000";"0";"No";"BERMO";"JHARKHAND";"BOKARO";"2019";"Jharkhand";"No Comment"
