"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Alakesh Das";"CPM";"0";"Post Graduate";"40";"278876";"18382";"Yes";"NABADWIP";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Amitosh Biswas";"IND";"0";"Graduate";"34";"176000";"0";"No";"NABADWIP";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Basu Dev Bachha";"IND";"0";"8th Pass";"31";"4000";"0";"No";"NABADWIP";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Gopal Biswas";"IND";"0";"Graduate";"47";"1000";"0";"No";"NABADWIP";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Howladar Nripendra Nath";"INC";" 2";"12th Pass";"48";"1423000";"36114";"No";"NABADWIP";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Nilima Nag ( Mallick)";"AITC";"0";"10th Pass";"45";"912959";"0";"No";"NABADWIP";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Paramesh Chandra Biswas";"IND";"0";"Post Graduate";"30";"5000";"0";"No";"NABADWIP";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Parimal Dhal";"IND";"0";"10th Pass";"36";"165200";"178640";"No";"NABADWIP";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Satish Biswas";"BSP";"0";"Post Graduate";"58";"100000";"0";"No";"NABADWIP";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
