"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"H. Tovihoto Ayemi";"BJP";"0";"Graduate";"44";"92798830";"3351484";"Yes";"DIMAPUR-I";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"Kewekhape Th";"INC";"0";"Graduate";"69";"16762468";"0";"No";"DIMAPUR-I";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"Moatoshi Longkumer";"NDPP";"0";"Post Graduate";"65";"60882047";"1981386";"Yes";"DIMAPUR-II (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"S. Amento Chish";"INC";"0";"10th Pass";"38";"5964362";"0";"No";"DIMAPUR-II (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"Y. Vikheho Awom";"Lok Janshakti Party(Ram Vilas)";"0";"Graduate Professional";"54";"83489481";"0";"No";"DIMAPUR-II (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"Hekani Jakhalu";"NDPP";"0";"Post Graduate";"48";"55878769";"4195437";"Yes";"DIMAPUR-III (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"Azheto Zhimom";"Lok Janshakti Party(Ram Vilas)";"0";"10th Pass";"67";"38187043";"0";"No";"DIMAPUR-III (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"Kahuto Chishi Sum";"IND";"0";"Graduate";"57";"3328731";"0";"No";"DIMAPUR-III (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"Lun Tungnung";"IND";"0";"Graduate Professional";"45";"54045593";"10455330";"No";"DIMAPUR-III (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"Vetetso Lasuh";"INC";"0";"Illiterate";"72";"203534";"0";"No";"DIMAPUR-III (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"N. Jacob Zhimomi";"BJP";"0";"Graduate";"42";"101162867";"0";"Yes";"GHASPANI-I (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"Akavi N. Zhimom";"INC";"0";"Graduate";"31";"285484";"0";"No";"GHASPANI-I (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"Imsumongba Pong";"JD(U)";"0";"Graduate";"48";"3043771";"1200000";"No";"GHASPANI-I (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"V. Phushika Aom";"IND";" 3";"Graduate";"46";"131961128";"3966676";"No";"GHASPANI-I (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"Vikato Ay";"NPF";" 1";"Graduate";"37";"1686671";"0";"No";"GHASPANI-I (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"Zhaleo Rio";"NDPP";"0";"Graduate";"69";"92547034";"0";"Yes";"GHASPANI-II (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"Kitoho S. Rotokha";"Lok Janshakti Party(Ram Vilas)";"0";"Graduate";"49";"94418611";"2199393";"No";"GHASPANI-II (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"Z. Kasheto Yeptho";"Republican Party of India (Athawale)";"0";"10th Pass";"48";"93027207";"30000000";"No";"GHASPANI-II (ST)";"NAGALAND";"DIMAPUR";"2023";"Nagaland";"No Comment"
"S. Kiusumew Yimchunger";"NDPP";"0";"8th Pass";"62";"4942408";"0";"Yes";"PUNGRO KIPHIRE (ST)";"NAGALAND";"KIPHIRE";"2023";"Nagaland";"No Comment"
"T. Atsuba";"INC";"0";"10th Pass";"26";"530000";"0";"No";"PUNGRO KIPHIRE (ST)";"NAGALAND";"KIPHIRE";"2023";"Nagaland";"No Comment"
"T. Yangseo Sangtam";"Republican Party of India (Athawale)";"0";"Graduate";"41";"5983897";"0";"No";"PUNGRO KIPHIRE (ST)";"NAGALAND";"KIPHIRE";"2023";"Nagaland";"No Comment"
"C. Kipili Sangtam";"NPP";"0";"8th Pass";"72";"9261466";"832187";"Yes";"SEYOCHUNG SITIMI (ST)";"NAGALAND";"KIPHIRE";"2023";"Nagaland";"No Comment"
"Khaseo Sangtam";"INC";"0";"10th Pass";"46";"5267231";"0";"No";"SEYOCHUNG SITIMI (ST)";"NAGALAND";"KIPHIRE";"2023";"Nagaland";"No Comment"
"V. Kashiho Sangtam";"BJP";"0";"Graduate";"62";"49576313";"0";"No";"SEYOCHUNG SITIMI (ST)";"NAGALAND";"KIPHIRE";"2023";"Nagaland";"No Comment"
"Dr Tseilhoutuo Rhutso (Dr Ato)";"NPP";"0";"Post Graduate";"49";"221733638";"0";"Yes";"KOHIMA TOWN (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Dr Neikiesalie Nicky K";"NDPP";"0";"Graduate Professional";"71";"90344912";"0";"No";"KOHIMA TOWN (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Er Meshenlo Kath";"INC";"0";"Graduate Professional";"34";"550000";"0";"No";"KOHIMA TOWN (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Dr.Kekhrielhoulie Yhome";"NDPP";"0";"Doctorate";"46";"141268343";"1521054";"Yes";"NORTHERN ANGAMI-I (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Khriehu Liezietsu";"NPF";"0";"12th Pass";"56";"108034895";"0";"No";"NORTHERN ANGAMI-I (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Neiphiu Rio";"NDPP";"0";"Graduate";"72";"469507855";"869215";"Yes";"NORTHERN ANGAMI-II (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Seyievilie Sachu";"INC";"0";"8th Pass";"37";"1671987";"0";"No";"NORTHERN ANGAMI-II (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Kevipodi Sophie";"IND";"0";"Post Graduate";"59";"65700046";"0";"Yes";"SOUTHERN ANGAMI-I (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Medo Yhokha";"NDPP";"0";"Post Graduate";"45";"24790601";"1961720";"No";"SOUTHERN ANGAMI-I (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Kropol Vitsu";"BJP";"0";"Graduate Professional";"58";"33531621";"3524850";"Yes";"SOUTHERN ANGAMI-II (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Vipopal Kintso";"JD(U)";"0";"Graduate";"52";"49139588";"0";"No";"SOUTHERN ANGAMI-II (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Zale Neikha";"NCP";"0";"Graduate Professional";"46";"60138905";"0";"No";"SOUTHERN ANGAMI-II (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Jwenga Seb";"JD(U)";"0";"Graduate Professional";"45";"78535343";"1988958";"Yes";"TSEMINYU (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Er. Levi Rengma";"Lok Janshakti Party(Ram Vilas)";"0";"Graduate Professional";"64";"133357493";"0";"No";"TSEMINYU (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Joel Naga";"Rising People’s Party";" 1";"Graduate";"48";"4726513";"0";"No";"TSEMINYU (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Loguseng Semp";"Republican Party of India (Athawale)";"0";"Graduate";"46";"42910767";"8139724";"No";"TSEMINYU (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"R. Khing";"NDPP";"0";"Graduate";"73";"19049700";"0";"No";"TSEMINYU (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Salhoutuonuo Kruse";"NDPP";"0";"12th Pass";"56";"130511097";"0";"Yes";"WESTERN ANGAMI (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"Keneizhakho Nakhro";"IND";"0";"Graduate";"56";"93465487";"0";"No";"WESTERN ANGAMI (ST)";"NAGALAND";"KOHIMA";"2023";"Nagaland";"No Comment"
"A Pongshi Phom";"NCP";"0";"Others";"54";"61699948";"0";"Yes";"LONGLENG (ST)";"NAGALAND";"LONGLENG";"2023";"Nagaland";"No Comment"
"Denngan Y Avennoho";"INC";"0";"Graduate";"58";"8862900";"0";"No";"LONGLENG (ST)";"NAGALAND";"LONGLENG";"2023";"Nagaland";"No Comment"
"Phuyam";"IND";"0";"Graduate";"36";"1916777";"0";"No";"LONGLENG (ST)";"NAGALAND";"LONGLENG";"2023";"Nagaland";"No Comment"
"S. Pangnyu Phom";"BJP";"0";"Graduate";"58";"19092219";"0";"No";"LONGLENG (ST)";"NAGALAND";"LONGLENG";"2023";"Nagaland";"No Comment"
