"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Mohan Jena";"BJD";"0";"Post Graduate";"52";"3046404";"0";"Yes";"JAJPUR";"ORISSA";"2009";"Lok Sabha";"No Comment"
"Ajit Kumar Jena";"Samruddha Odisha";"0";"Post Graduate";"42";"751091";"0";"No";"JAJPUR";"ORISSA";"2009";"Lok Sabha";"No Comment"
"Amiya Kanta Mallik";"INC";"0";"5th Pass";"50";"11740000";"1980000";"No";"JAJPUR";"ORISSA";"2009";"Lok Sabha";"No Comment"
"Babuli Mallik";"OMM";"0";"10th Pass";"36";"50000";"0";"No";"JAJPUR";"ORISSA";"2009";"Lok Sabha";"No Comment"
"Bhimsen Behera";"JHKP";"0";"Graduate Professional";"44";"441000";"0";"No";"JAJPUR";"ORISSA";"2009";"Lok Sabha";"No Comment"
"Kalandi Mallik";"IND";"0";"12th Pass";"28";"85000";"6000";"No";"JAJPUR";"ORISSA";"2009";"Lok Sabha";"No Comment"
"Parameswar Seth";"BJP";" 1";"Graduate Professional";"40";"3791372";"1300000";"No";"JAJPUR";"ORISSA";"2009";"Lok Sabha";"No Comment"
"Udaya Nath Jena";"IND";"0";"Not Given";"29";"10000";"14000";"No";"JAJPUR";"ORISSA";"2009";"Lok Sabha";"No Comment"
