,Candidate,Party,,Criminal Cases,,Education,,Age,,Total Assets,,Liabilities,,Result,constituency,state,year,election
,Angadi Mangal Suresh,,BJP,,0,,Graduate,58,,1372971953,,995443806,,Winner,BELGAUM : BYE ELECTION ON 17-04-2021,KARNATAKA,2019,Lok Sabha
,Satish Laxmanarao Jarkihol,,INC,,0,,12th Pass,58,,1484281108,,154186032,,,BELGAUM : BYE ELECTION ON 17-04-2021,KARNATAKA,2019,Lok Sabha
,Shri Venkateshwara Maha Swamij,,Hindustan Janta Party,,0,,Graduate,35,,374481101,,370000000,,,BELGAUM : BYE ELECTION ON 17-04-2021,KARNATAKA,2019,Lok Sabha
,Shubham Vikrant Shelk,,IND,, 2,,10th Pass,26,,1039700,,0,,,BELGAUM : BYE ELECTION ON 17-04-2021,KARNATAKA,2019,Lok Sabha
,Sreekant Padasalag,,IND,,0,,12th Pass,25,,1578900,,75000,,,BELGAUM : BYE ELECTION ON 17-04-2021,KARNATAKA,2019,Lok Sabha
