,Candidate,Party,,Criminal Cases,,Education,,Age,,Total Assets,,Liabilities,,Result,constituency,state,year,election
,Delkar Kalaben Mohanbhai,,SHS,,0,,Graduate,50,,707774495,,22768079,,Winner,DADRA AND NAGAR HAVELI : BYE ELECTION ON 30-10-2021,DADRA & NAGAR HAVELI,2019,Lok Sabha
,Dhodi Maheshbhai Balubha,,INC,,0,,Graduate,49,,1564347,,2028036,,,DADRA AND NAGAR HAVELI : BYE ELECTION ON 30-10-2021,DADRA & NAGAR HAVELI,2019,Lok Sabha
,Ganesh Bhujada,,Bhartiya Tribal Party,,0,,5th Pass,37,,108000,,0,,,DADRA AND NAGAR HAVELI : BYE ELECTION ON 30-10-2021,DADRA & NAGAR HAVELI,2019,Lok Sabha
,Gavit Maheshbha,,BJP,,0,,Graduate,44,,8558400,,1611515,,,DADRA AND NAGAR HAVELI : BYE ELECTION ON 30-10-2021,DADRA & NAGAR HAVELI,2019,Lok Sabha
