"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Kumar Balram Singh";"IND";" 1";"12th Pass";"56";"2132000";"47000";"No";"SARAN";"BIHAR";"2009";"Lok Sabha";"No Comment"
"Lal Babu Rai Lal";"IND";" 1";"Graduate";"46";"572094";"225000";"No";"SARAN";"BIHAR";"2009";"Lok Sabha";"No Comment"
"Rajiv Pratap Rudy";"BJP";"0";"Post Graduate";"48";"24586315";"552076";"No";"SARAN";"BIHAR";"2009";"Lok Sabha";"No Comment"
"Sohail Aktha";"BMF";"0";"12th Pass";"33";"1296";"0";"No";"SARAN";"BIHAR";"2009";"Lok Sabha";"No Comment"
