"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Mufti Mohd Syed";"JKPDP";"0";"Post Graduate";"72";"16239362";"500000";"Yes";"ANANTNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Farooq Ahmad M";"BSP";"0";"8th Pass";"41";"6000000";"0";"No";"ANANTNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Ghulam Rasool Da";"IND";"0";"10th Pass";"70";"3075000";"0";"No";"ANANTNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Hilal Ahmed Shah";"INC";"0";"Others";"39";"24613638";"3067758";"No";"ANANTNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Iftikhar Hussain Misga";"JKNC";"0";"Post Graduate";"45";"18715000";"4590594";"No";"ANANTNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Mohammad Rafiq Wa";"BJP";"0";"Others";"45";"31300000";"5800000";"No";"ANANTNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Mohd Shafi M";"All Jammu and Kashmir Republican Party";"0";"12th Pass";"54";"350000";"0";"No";"ANANTNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Nasir Ali Kochak";"IND";"0";"Graduate Professional";"46";"8377047";"0";"No";"ANANTNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Hilal Ahmad Shah";"INC";"0";"Others";"41";"29061144";"3670000";"No";"ANANTNAG (ST)";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"BYE- ELECTION ON 19-06-2016"
"Iftikar Hussain Misg";"JKNC";"0";"Post Graduate";"47";"28395000";"0";"No";"ANANTNAG (ST)";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"BYE- ELECTION ON 19-06-2016"
"Manzoor Ahmad Kha";"IND";" 1";"8th Pass";"41";"30000";"0";"No";"ANANTNAG (ST)";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"BYE- ELECTION ON 19-06-2016"
"Masroor Ahmad M";"IND";"0";"8th Pass";"40";"20000";"0";"No";"ANANTNAG (ST)";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"BYE- ELECTION ON 19-06-2016"
"Mehbooba Muft";"JKPDP";" 1";"Graduate Professional";"57";"5596854";"0";"No";"ANANTNAG (ST)";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"BYE- ELECTION ON 19-06-2016"
"Mujieb Ur Rehma";"IND";"0";"Graduate Professional";"49";"1460000";"0";"No";"ANANTNAG (ST)";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"BYE- ELECTION ON 19-06-2016"
"Mushtaq Ahmad Shah";"IND";"0";"12th Pass";"0";"50000";"0";"No";"ANANTNAG (ST)";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"BYE- ELECTION ON 19-06-2016"
"Tejinder Singh";"IND";"0";"Graduate Professional";"38";"280000";"500000";"No";"ANANTNAG (ST)";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"BYE- ELECTION ON 19-06-2016"
"Abdul Rehman Bhat";"JKPDP";"0";"Graduate";"58";"19722919";"500000";"Yes";"BIJBEHARA";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Dr Bashir Ahmad Shah";"JKNC";"0";"Graduate Professional";"47";"98800000";"750000";"No";"BIJBEHARA";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Manzoor Ahmad Ga";"INC";"0";"Graduate Professional";"60";"4300000";"0";"No";"BIJBEHARA";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Mushtaq Ahmad Sheikh";"BSP";"0";"Graduate";"40";"10300000";"0";"No";"BIJBEHARA";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Pushkar Nath Pandita";"BJP";"0";"10th Pass";"62";"8231000";"0";"No";"BIJBEHARA";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Syed Farooq Ahmad Andrabi";"JKPDP";"0";"Graduate";"55";"25536000";"716000";"Yes";"DORU";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Abdul Ahad M";"Indian Peoples Conference Party";"0";"12th Pass";"48";"0";"0";"No";"DORU";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Farooq Ahmad Gana";"JKNC";"0";"Graduate Professional";"42";"7681914";"0";"No";"DORU";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Farooq Ahmad Gashroo";"Hindustan Janta Party";"0";"10th Pass";"34";"12000";"0";"No";"DORU";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Ghulam Ahmad M";"INC";"0";"Graduate";"55";"134730920";"0";"No";"DORU";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Gul Mohd. M";"BJP";"0";"Illiterate";"52";"1903000";"0";"No";"DORU";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Mohd. Yousuf Ga";"JKNPP";"0";"Graduate";"52";"1550000";"250000";"No";"DORU";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Suhail Malik";"J&K Peoples Conference";"0";"Graduate Professional";"25";"11031479";"91672";"No";"DORU";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Syed Rasheed Ahmad";"IND";"0";"10th Pass";"46";"575388";"0";"No";"DORU";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Syed Shariq Hussa";"IND";"0";"10th Pass";"29";"5000";"0";"No";"DORU";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Abdul Rahim Rather";"JKPDP";"0";"Graduate";"57";"81255015";"3400000";"Yes";"KOKERNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Gh Nabi Bhat";"JKNC";"0";"10th Pass";"73";"16115488";"27171";"No";"KOKERNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Ghulam Hassan Khanday";"IND";"0";"10th Pass";"62";"4162000";"0";"No";"KOKERNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Javaid Ahmad Rath";"All Jammu and Kashmir Republican Party";"0";"8th Pass";"26";"2565000";"0";"No";"KOKERNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Khurshid Ahmad Malik";"BJP";" 2";"Post Graduate";"39";"34080000";"300000";"No";"KOKERNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Mohammad Yousf Ga";"JKNPP";"0";"Graduate";"52";"10000";"0";"No";"KOKERNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Peerzada Mohammad Syed";"INC";"0";"Graduate Professional";"61";"13750000";"0";"No";"KOKERNAG";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Altaf Ahmad Wani";"JKNC";"0";"Graduate Professional";"41";"36027972";"1115866";"Yes";"PAHALGAM";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Anwar Jaa";"J&K Peoples Conference";"0";"8th Pass";"38";"1337000";"485000";"No";"PAHALGAM";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Farooq Ahmad Rath";"IND";"0";"12th Pass";"40";"7800000";"0";"No";"PAHALGAM";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
"Irfan Abid";"INC";"0";"Post Graduate";"42";"49600000";"0";"No";"PAHALGAM";"JAMMU & KASHMIR";"ANANTNAG";"2014";"Jammu & Kashmir";"No Comment"
