,Candidate,Party,,Criminal Cases,,Education,,Age,,Total Assets,,Liabilities,,Result,constituency,state,year,election
,Pratibha Singh,,INC,, 2,,Graduate,65,,282503355,,1029992,,Winner,MANDI : BYE ELECTION ON 30-10-2021,HIMACHAL PRADESH,2019,Lok Sabha
,Ambika Shyam,,Rashtriya Lokneeti Party,,0,,Graduate Professional,44,,7660216,,0,,,MANDI : BYE ELECTION ON 30-10-2021,HIMACHAL PRADESH,2019,Lok Sabha
,Anil Kuma,,IND,,0,,12th Pass,39,,4041329,,0,,,MANDI : BYE ELECTION ON 30-10-2021,HIMACHAL PRADESH,2019,Lok Sabha
,Brig Khushal Chand Thaku,,BJP,,0,,Graduate,67,,106481310,,0,,,MANDI : BYE ELECTION ON 30-10-2021,HIMACHAL PRADESH,2019,Lok Sabha
,Munshi Ram Thaku,,Himachal Jan Kranti Party,,0,,Graduate Professional,62,,5600000,,0,,,MANDI : BYE ELECTION ON 30-10-2021,HIMACHAL PRADESH,2019,Lok Sabha
,Subhash Mohan Sneh,,IND,,0,,Doctorate,43,,23730000,,0,,,MANDI : BYE ELECTION ON 30-10-2021,HIMACHAL PRADESH,2019,Lok Sabha
