"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"P.R.N. Thirumurugan";"All India N.R. Congress";" 4";"Graduate";"49";"265339593";"23526767";"Yes";"KARAIKAL NORTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
"A. Velusamy";"DMDK";"0";"Graduate";"39";"1260000";"0";"No";"KARAIKAL NORTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
"A. Vengadesh";"IND";"0";"10th Pass";"31";"279155";"68000";"No";"KARAIKAL NORTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
"A.V. Subramania";"INC";" 3";"Others";"74";"276865608";"12425000";"No";"KARAIKAL NORTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
"Anusuya";"Naam Tamilar Katchi";"0";"Graduate";"34";"2302400";"455000";"No";"KARAIKAL NORTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
"B. Rajendra";"IND";" 1";"10th Pass";"63";"3085000";"2100000";"No";"KARAIKAL NORTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
"K. Suresh";"Makkal Needhi Maiam";"0";"Graduate";"39";"253600";"0";"No";"KARAIKAL NORTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
"Mohamed Thameem Ka";"SDPI";"0";"Others";"33";"1667000";"0";"No";"KARAIKAL NORTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
"P. Arulanandham";"Indiya Jananayaka Katchi";"0";"12th Pass";"48";"500";"0";"No";"KARAIKAL NORTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
"S. Mural";"IND";"0";"Post Graduate";"45";"498000";"545000";"No";"KARAIKAL NORTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
"A.M.H. Nazim";"DMK";" 9";"12th Pass";"59";"5108000";"0";"Yes";"KARAIKAL SOUTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
"A Nepoliea";"Indiya Jananayaka Katchi";"0";"12th Pass";"30";"500";"0";"No";"KARAIKAL SOUTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
"A Ramprasad";"IND";"0";"Graduate Professional";"26";"2458432";"760461";"No";"KARAIKAL SOUTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
"K.A.U.Assana Mareca";"AIADMK";" 2";"Graduate";"66";"7621606";"588500";"No";"KARAIKAL SOUTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
"R Jagateesa";"DMDK";"0";"12th Pass";"43";"185500";"0";"No";"KARAIKAL SOUTH";"PUDUCHERRY";"KARAIKAL";"2021";"Puducherry";"No Comment"
