"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Anil Vij";"BJP";"0";"Graduate";"66";"11741904";"1380110";"Yes";"AMBALA CANTT";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Chitra Sarwara";"IND";"0";"12th Pass";"44";"42650069";"0";"No";"AMBALA CANTT";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Lakhbir Singh";"Bhartiya Jan Samman Party";"0";"Graduate";"38";"5145546";"0";"No";"AMBALA CANTT";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Rajesh Kuma";"BSP";" 2";"5th Pass";"35";"263971";"80000";"No";"AMBALA CANTT";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Shailendar Kuma";"Loktanter Suraksha Party";"0";"Graduate";"33";"637118";"604166";"No";"AMBALA CANTT";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Venu Singla";"INC";"0";"Graduate Professional";"46";"29517153";"102000";"No";"AMBALA CANTT";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Aseem Goel";"BJP";"0";"Graduate";"39";"56392766";"3884405";"Yes";"AMBALA CITY";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Anshul Kumar Aggarwal";"Aam Aadmi Party";"0";"12th Pass";"28";"3106820";"1207000";"No";"AMBALA CITY";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Harpal Singh";"Jannayak Janta Party";"0";"10th Pass";"49";"138666190";"37625456";"No";"AMBALA CITY";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Jasbir Singh";"INC";"0";"Graduate";"53";"238838979";"6555517";"No";"AMBALA CITY";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Nirmal Singh S/O Late Hazara Singh";"IND";"0";"Graduate";"66";"125597334";"704496";"No";"AMBALA CITY";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Nirmal Singh S/O Sarja Singh";"IND";"0";"8th Pass";"54";"4607754";"0";"No";"AMBALA CITY";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Rajesh Pahuja";"IND";"0";"Post Graduate";"48";"2034483";"0";"No";"AMBALA CITY";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Ravinder Singh";"BSP";"0";"Post Graduate";"58";"17776836";"1202012";"No";"AMBALA CITY";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Sharan Pal Sachdeva";"Loktanter Suraksha Party";"0";"Graduate";"58";"11696946";"171800";"No";"AMBALA CITY";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Yogesh Kuma";"IND";"0";"12th Pass";"32";"1402278";"0";"No";"AMBALA CITY";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Varun Chaudhary";"INC";"0";"Graduate Professional";"39";"66126079";"5357194";"Yes";"MULLANA (SC)";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Amar Nath";"Jannayak Janta Party";"0";"Graduate";"63";"5151000";"1100000";"No";"MULLANA (SC)";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Anil Kuma";"IND";"0";"8th Pass";"39";"3800000";"100000";"No";"MULLANA (SC)";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Daya Ra";"INLD";"0";"10th Pass";"41";"2208360";"552164";"No";"MULLANA (SC)";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Krishan Dass";"BSP";"0";"Others";"61";"11763436";"1350000";"No";"MULLANA (SC)";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Mewa Dass";"IND";"0";"10th Pass";"63";"12850000";"0";"No";"MULLANA (SC)";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Rajbir Singh";"BJP";"0";"10th Pass";"52";"30224221";"4503977";"No";"MULLANA (SC)";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Suraj Bha";"IND";"0";"Post Graduate";"62";"360000";"0";"No";"MULLANA (SC)";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Shalley";"INC";"0";"8th Pass";"53";"534962557";"840000";"Yes";"NARAINGARH";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Gulshan Kuma";"Loktanter Suraksha Party";"0";"Graduate";"38";"46165528";"23560519";"No";"NARAINGARH";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Gurpal Singh";"IND";"0";"10th Pass";"50";"51635959";"8892741";"No";"NARAINGARH";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Jagmal Singh";"INLD";"0";"8th Pass";"61";"108853597";"8045398";"No";"NARAINGARH";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Lakhvinder Singh";"Bahujan Maha Party";"0";"Graduate";"25";"25580000";"0";"No";"NARAINGARH";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Madan Pal";"BSP";"0";"8th Pass";"62";"4311528";"375412";"No";"NARAINGARH";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Mahender Singh";"IND";"0";"Post Graduate";"39";"18650000";"800000";"No";"NARAINGARH";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
"Ram Singh";"Jannayak Janta Party";"0";"8th Pass";"66";"63440000";"120000";"No";"NARAINGARH";"HARYANA";"AMBALA";"2019";"Haryana";"No Comment"
