,Candidate,Party,,Criminal Cases,,Education,,Age,,Total Assets,,Liabilities,,Result,constituency,state,year,election
,Shriniwas Dadasaheb Patil,,NCP,,0,,Post Graduate,78,,241285292,,4629892,,Winner,SATARA : BYE ELECTION ON 21-10-2019,MAHARASHTRA,2019,Lok Sabha
,Adv. Shivajirao Jadhav Alias Kavivary Sushilkumar Bhosareka,,IND,,0,,Graduate Professional,48,,52370000,,0,,,SATARA : BYE ELECTION ON 21-10-2019,MAHARASHTRA,2019,Lok Sabha
,Alankruta Abhijit Bichukal,,IND,,0,,Post Graduate,40,,445321,,0,,,SATARA : BYE ELECTION ON 21-10-2019,MAHARASHTRA,2019,Lok Sabha
,Chandrkant Tatu Khandait,,Vanchit Bahujan Aaghadi,,0,,Graduate,51,,1078208,,200000,,,SATARA : BYE ELECTION ON 21-10-2019,MAHARASHTRA,2019,Lok Sabha
,Shivaji Narayan Bhosal,,IND,,0,,12th Pass,48,,36116000,,400000,,,SATARA : BYE ELECTION ON 21-10-2019,MAHARASHTRA,2019,Lok Sabha
,Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsl,,BJP,, 8,,12th Pass,53,,2011705843,,18281463,,,SATARA : BYE ELECTION ON 21-10-2019,MAHARASHTRA,2019,Lok Sabha
,Venkateshwar Maha Swamiji (Katakadhond D.G.),,Hindustan Janta Party,,0,,Graduate,32,,9,,99000,,,SATARA : BYE ELECTION ON 21-10-2019,MAHARASHTRA,2019,Lok Sabha
