"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Sangram Arunkaka Jagtap";"NCP";" 1";"Graduate";"35";"104216455";"33902755";"Yes";"AHMEDNAGAR CITY";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Anil Ramkisan Rathod";"SHS";" 28";"Graduate";"69";"42345655";"5391378";"No";"AHMEDNAGAR CITY";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Bahirnath Tukaram Wakal";"CPI";" 1";"12th Pass";"43";"19063150";"1050000";"No";"AHMEDNAGAR CITY";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Kiran Gulabrao Kal";"Vanchit Bahujan Aaghadi";" 2";"Post Graduate";"34";"721061";"19110";"No";"AHMEDNAGAR CITY";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Meer Asif Sulta";"All India Majlis-E-Ittehadul Muslimeen";"0";"Post Graduate";"42";"11519515";"784839";"No";"AHMEDNAGAR CITY";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Pratik Arvind Bars";"IND";" 1";"8th Pass";"45";"308500";"0";"No";"AHMEDNAGAR CITY";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Sandip Laxman Sakat";"IND";" 1";"10th Pass";"39";"22500";"0";"No";"AHMEDNAGAR CITY";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Santosh Namdev Wakal";"MNS";"0";"12th Pass";"25";"3427778";"97327";"No";"AHMEDNAGAR CITY";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Shridhar Jakhuji Dareka";"IND";"0";"Graduate Professional";"64";"17529447";"0";"No";"AHMEDNAGAR CITY";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Shripad Shankar Chhindam";"BSP";" 3";"12th Pass";"38";"48130195";"26259918";"No";"AHMEDNAGAR CITY";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Sunil Suresh Fulsounda";"IND";"0";"12th Pass";"31";"331428";"0";"No";"AHMEDNAGAR CITY";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Dr. Kiran Yamaji Lahamate";"NCP";"0";"Graduate Professional";"45";"5211079";"1752452";"Yes";"AKOLE";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Dipak Yashwant Pathav";"Vanchit Bahujan Aaghadi";"0";"Graduate";"33";"835415";"120000";"No";"AKOLE";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Ghane Bhiva Rama";"IND";"0";"8th Pass";"30";"110000";"0";"No";"AKOLE";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Pichad Vaibhav Madhukarrao";"BJP";"0";"10th Pass";"45";"97845472";"10234800";"No";"AKOLE";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Rohit Pawar";"NCP";"0";"Graduate Professional";"34";"594575227";"37400682";"Yes";"KARJAT JAMKHED";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Appasaheb Navnath Palv";"MNS";"0";"Graduate Professional";"34";"329000";"100000";"No";"KARJAT JAMKHED";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
"Arun Housrao Jadhav";"Vanchit Bahujan Aaghadi";"0";"Post Graduate";"47";"9511483";"1098393";"No";"KARJAT JAMKHED";"MAHARASHTRA";"AHMEDNAGAR";"2019";"Maharashtra";"No Comment"
