,Candidate,Party,,Criminal Cases,,Education,,Age,,Total Assets,,Liabilities,,Result,constituency,state,year,election
,Sunil Kumar,,JD(U),,0,,Graduate,35,,5261775,,200623,,Winner,VALMIKI NAGAR : BYE ELECTION ON 07-11-2020,BIHAR,2019,Lok Sabha
,Ankur Sharma,,IND,,0,,Post Graduate,35,,25979055,,0,,,VALMIKI NAGAR : BYE ELECTION ON 07-11-2020,BIHAR,2019,Lok Sabha
,Dhiraj Kuma,,Janata Congress,,0,,12th Pass,35,,5722390,,0,,,VALMIKI NAGAR : BYE ELECTION ON 07-11-2020,BIHAR,2019,Lok Sabha
,Lokesh Patel,,IND,,0,,Graduate Professional,27,,1107707,,0,,,VALMIKI NAGAR : BYE ELECTION ON 07-11-2020,BIHAR,2019,Lok Sabha
,Pravesh Kumar Mishra,,INC,,0,,Graduate,44,,56456831,,3012217,,,VALMIKI NAGAR : BYE ELECTION ON 07-11-2020,BIHAR,2019,Lok Sabha
,Prem Kumar Chowdhary,,Rashtriya Lok Samta Party,,0,,Graduate Professional,38,,101468726,,9298567,,,VALMIKI NAGAR : BYE ELECTION ON 07-11-2020,BIHAR,2019,Lok Sabha
,Shailendra Kuma,,Bhartiya Panchyat Party,, 6,,Graduate,45,,16706004,,0,,,VALMIKI NAGAR : BYE ELECTION ON 07-11-2020,BIHAR,2019,Lok Sabha
