"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Lalthansanga";"Zoram People’s Movement";"0";"12th Pass";"60";"27108009";"0";"Yes";"AIZAWL EAST-I";"MIZORAM";"AIZAWL";"2023";"Mizoram";"No Comment"
"Lalruatfeli Hlawndo";"IND";"0";"Post Graduate";"31";"185000";"9000";"No";"AIZAWL EAST-I";"MIZORAM";"AIZAWL";"2023";"Mizoram";"No Comment"
"Lalsanglura Ralt";"INC";"0";"Graduate Professional";"53";"68865163";"341616";"No";"AIZAWL EAST-I";"MIZORAM";"AIZAWL";"2023";"Mizoram";"No Comment"
"Zoramthanga";"MNF";"0";"Graduate";"79";"50295607";"0";"No";"AIZAWL EAST-I";"MIZORAM";"AIZAWL";"2023";"Mizoram";"No Comment"
"B. Lalchhanzova";"Zoram People’s Movement";"0";"Post Graduate";"47";"25358766";"1442878";"Yes";"AIZAWL EAST-II (ST)";"MIZORAM";"AIZAWL";"2023";"Mizoram";"No Comment"
"B. Lalawmpu";"MNF";"0";"Graduate";"47";"82405325";"0";"No";"AIZAWL EAST-II (ST)";"MIZORAM";"AIZAWL";"2023";"Mizoram";"No Comment"
"Lalhmachhua";"IND";"0";"Post Graduate";"47";"10000";"0";"No";"AIZAWL EAST-II (ST)";"MIZORAM";"AIZAWL";"2023";"Mizoram";"No Comment"
"P.C Lalhmingthanga";"INC";"0";"Post Graduate";"49";"15541739";"796837";"No";"AIZAWL EAST-II (ST)";"MIZORAM";"AIZAWL";"2023";"Mizoram";"No Comment"
"Rothuama";"IND";"0";"12th Pass";"48";"358094";"0";"No";"AIZAWL EAST-II (ST)";"MIZORAM";"AIZAWL";"2023";"Mizoram";"No Comment"
"Vanlalhlana";"Zoram People’s Movement";"0";"Post Graduate";"62";"36353500";"2200387";"Yes";"AIZAWL NORTH-I (ST)";"MIZORAM";"AIZAWL";"2023";"Mizoram";"No Comment"
"Lalnunmawia Chuaungo";"INC";"0";"Graduate";"61";"93774958";"0";"No";"AIZAWL NORTH-I (ST)";"MIZORAM";"AIZAWL";"2023";"Mizoram";"No Comment"
"Lalruatfeli Hlawndo";"IND";"0";"Post Graduate";"31";"185000";"9000";"No";"AIZAWL NORTH-I (ST)";"MIZORAM";"AIZAWL";"2023";"Mizoram";"No Comment"
"R.Lalzirliana";"MNF";"0";"10th Pass";"74";"80560893";"130980";"No";"AIZAWL NORTH-I (ST)";"MIZORAM";"AIZAWL";"2023";"Mizoram";"No Comment"
