"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Arjun Charan Sethi";"BJD";"0";"Post Graduate";"73";"6730000";"2424000";"Yes";"BHADRAK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Arjun Charan Mallik";"BSP";"0";"Graduate Professional";"66";"7817500";"0";"No";"BHADRAK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Narayan Chandra Jena";"AAP";" 1";"Graduate";"55";"2066000";"0";"No";"BHADRAK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Netrananda Mallick";"Aama Odisha Party";"0";"Graduate";"65";"1710000";"0";"No";"BHADRAK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Ramesh Jena";"CPI";"0";"Graduate";"49";"346987";"0";"No";"BHADRAK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Sangram Keshari Jena";"INC";" 5";"Post Graduate";"36";"10108428";"23025000";"No";"BHADRAK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Sarat Das";"BJP";"0";"Post Graduate";"45";"1241350";"309933";"No";"BHADRAK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Susanta Kumar Jena";"IND";"0";"10th Pass";"36";"15000";"0";"No";"BHADRAK";"ORISSA";"2014";"Lok Sabha";"No Comment"
