"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Kuldeep Singh Dhaliwal";"AAP";" 1";"10th Pass";"60";"16316898";"3655790";"Yes";"AJNALA";"PUNJAB";"AMRITSAR";"2022";"Punjab";"No Comment"
"Amarpal Singh Bonny Ajnala";"SAD";" 4";"12th Pass";"46";"140280689";"21543536";"No";"AJNALA";"PUNJAB";"AMRITSAR";"2022";"Punjab";"No Comment"
"Amit Moha";"IND";"0";"Graduate";"36";"935000";"0";"No";"AJNALA";"PUNJAB";"AMRITSAR";"2022";"Punjab";"No Comment"
"Amrik Singh";"Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)";"0";"Illiterate";"63";"13580000";"0";"No";"AJNALA";"PUNJAB";"AMRITSAR";"2022";"Punjab";"No Comment"
"Charnjeet Singh";"Sanyukt Sangharsh Party";" 2";"8th Pass";"43";"2921000";"0";"No";"AJNALA";"PUNJAB";"AMRITSAR";"2022";"Punjab";"No Comment"
"Harpartap Singh";"INC";"0";"Graduate Professional";"70";"409673433";"7500000";"No";"AJNALA";"PUNJAB";"AMRITSAR";"2022";"Punjab";"No Comment"
"Harpartap Singh";"IND";"0";"10th Pass";"28";"97000";"0";"No";"AJNALA";"PUNJAB";"AMRITSAR";"2022";"Punjab";"No Comment"
"Karanjit Singh";"IND";"0";"8th Pass";"33";"725000";"0";"No";"AJNALA";"PUNJAB";"AMRITSAR";"2022";"Punjab";"No Comment"
"Sona Masih Jafa";"IND";" 1";"12th Pass";"45";"14728447";"2600000";"No";"AJNALA";"PUNJAB";"AMRITSAR";"2022";"Punjab";"No Comment"
"Surjeet Singh";"Punjab Lok Congress Party";"0";"Illiterate";"50";"13480600";"2300000";"No";"AJNALA";"PUNJAB";"AMRITSAR";"2022";"Punjab";"No Comment"
"Ajay Gupta";"AAP";"0";"Graduate Professional";"61";"183502217";"40001071";"Yes";"AMRITSAR CENTRAL";"PUNJAB";"AMRITSAR";"2022";"Punjab";"No Comment"
"Dalvir Kau";"BSP";"0";"8th Pass";"60";"7867000";"912643";"No";"AMRITSAR CENTRAL";"PUNJAB";"AMRITSAR";"2022";"Punjab";"No Comment"
