,Candidate,Party,,Criminal Cases,,Education,,Age,,Total Assets,,Liabilities,,Result,constituency,state,year,election
,"Dinesh Lal Yadav ""Nirahua""",,BJP,, 1,,12th Pass,43,,76746563,,2088413,,Winner,AZAMGARH : BYE ELECTION ON 23-06-2022,UTTAR PRADESH,2019,Lok Sabha
,Amarawat,,Al-Hind Party,,0,,5th Pass,39,,40000,,0,,,AZAMGARH : BYE ELECTION ON 23-06-2022,UTTAR PRADESH,2019,Lok Sabha
,Ambrish Kumar Vijaita,,IND,,0,,Post Graduate,30,,45000,,0,,,AZAMGARH : BYE ELECTION ON 23-06-2022,UTTAR PRADESH,2019,Lok Sabha
,Dharmendra Yadav,,SP,, 3,,Post Graduate,43,,129781705,,25677558,,,AZAMGARH : BYE ELECTION ON 23-06-2022,UTTAR PRADESH,2019,Lok Sabha
,Dheeraj Srivastava,,Pragatisheel Samaj Party,,0,,Others,28,,370000,,0,,,AZAMGARH : BYE ELECTION ON 23-06-2022,UTTAR PRADESH,2019,Lok Sabha
,Jaynath Chauha,,Janta Kranti Party (Rashtravadi),,0,,Graduate,39,,1722000,,0,,,AZAMGARH : BYE ELECTION ON 23-06-2022,UTTAR PRADESH,2019,Lok Sabha
,Pankaj Kumar Yadav,,IND,,0,,Post Graduate,32,,55954,,0,,,AZAMGARH : BYE ELECTION ON 23-06-2022,UTTAR PRADESH,2019,Lok Sabha
,Rajiv Talwa,,IND,,0,,Graduate,46,,8950000,,0,,,AZAMGARH : BYE ELECTION ON 23-06-2022,UTTAR PRADESH,2019,Lok Sabha
,Ramakant Yadav,,IND,, 3,,Graduate,46,,5125000,,80000,,,AZAMGARH : BYE ELECTION ON 23-06-2022,UTTAR PRADESH,2019,Lok Sabha
,Ravindra Nath Sharma,,Moulik Adhikar Party,,0,,12th Pass,59,,5564500,,0,,,AZAMGARH : BYE ELECTION ON 23-06-2022,UTTAR PRADESH,2019,Lok Sabha
,Sarvar Al,,Sarvar Party,,0,,Graduate,26,,930330,,0,,,AZAMGARH : BYE ELECTION ON 23-06-2022,UTTAR PRADESH,2019,Lok Sabha
,Shah Alam Alias Guddu Jamal,,BSP,, 1,,Post Graduate,49,,1975391697,,30634000,,,AZAMGARH : BYE ELECTION ON 23-06-2022,UTTAR PRADESH,2019,Lok Sabha
,Virendra Kumar Nishad,,IND,,0,,8th Pass,51,,435000,,0,,,AZAMGARH : BYE ELECTION ON 23-06-2022,UTTAR PRADESH,2019,Lok Sabha
