,Candidate,Party,,Criminal Cases,,Education,,Age,,Total Assets,,Liabilities,,Result,constituency,state,year,election
,Dimple Yadav,,SP,,0,,Graduate,44,,399150143,,3153000,,Winner,MAINPURI : BYE ELECTION ON 05-12-2022,UTTAR PRADESH,2019,Lok Sabha
,Bhupendra Kumar Dhanga,,Rashtriya Shoshit Samaj Party,,0,,Graduate,34,,2804182,,400000,,,MAINPURI : BYE ELECTION ON 05-12-2022,UTTAR PRADESH,2019,Lok Sabha
,Pramod Kumar Yadav,,Bhartiya Krishak Dal,,0,,Post Graduate,49,,5379000,,0,,,MAINPURI : BYE ELECTION ON 05-12-2022,UTTAR PRADESH,2019,Lok Sabha
,Raghuraj Singh Shakya,,BJP,,0,,Post Graduate,54,,96257581,,2277968,,,MAINPURI : BYE ELECTION ON 05-12-2022,UTTAR PRADESH,2019,Lok Sabha
,Suresh Chandra,,IND,,0,,Graduate Professional,67,,16161234,,0,,,MAINPURI : BYE ELECTION ON 05-12-2022,UTTAR PRADESH,2019,Lok Sabha
,Sushma Dev,,IND,,0,,Graduate,38,,46455,,0,,,MAINPURI : BYE ELECTION ON 05-12-2022,UTTAR PRADESH,2019,Lok Sabha
