"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Dr. G S Dharmesh";"BJP";" 1";"Graduate Professional";"68";"43597778";"0";"Yes";"AGRA CANTT. (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Akash So";"IND";"0";"5th Pass";"26";"95891";"0";"No";"AGRA CANTT. (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Dr. Bhartendra Kumar Aru";"BSP";" 6";"Graduate";"47";"65420598";"0";"No";"AGRA CANTT. (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Hari Kisha";"IND";"0";"8th Pass";"61";"548000";"120540";"No";"AGRA CANTT. (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Kunwar Chand";"SP";"0";"Graduate Professional";"63";"9916764";"0";"No";"AGRA CANTT. (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Mona";"Peace Party";"0";"12th Pass";"33";"1135000";"0";"No";"AGRA CANTT. (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Prakash Indiv";"IND";"0";"12th Pass";"38";"46450";"0";"No";"AGRA CANTT. (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Prem Singh";"AAP";"0";"Post Graduate";"32";"107121";"0";"No";"AGRA CANTT. (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Sikandar Singh";"INC";"0";"12th Pass";"34";"2182000";"0";"No";"AGRA CANTT. (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Sundar Singh";"Bharatiya Majdoor Janta Party";"0";"Literate";"35";"456922";"0";"No";"AGRA CANTT. (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Purushottam Khandelwal";"BJP";"0";"10th Pass";"60";"11789777";"0";"Yes";"AGRA NORTH";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Gyanendra";"SP";" 1";"Graduate Professional";"40";"33912183";"4682844";"No";"AGRA NORTH";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Kapil Vajpa";"AAP";"0";"Graduate";"42";"4024447";"4300";"No";"AGRA NORTH";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Manish";"IND";"0";"Post Graduate";"36";"9400000";"0";"No";"AGRA NORTH";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Mohit Agarwal";"Jan Abhiyan Party";"0";"Post Graduate";"45";"3357238";"0";"No";"AGRA NORTH";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Neel";"Bharatiya Majdoor Janta Party";"0";"12th Pass";"29";"10000";"0";"No";"AGRA NORTH";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Niranjan Singh";"IND";"0";"10th Pass";"62";"11835000";"0";"No";"AGRA NORTH";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Om Prakash Rajput";"Adarsh Samaj Party";"0";"Post Graduate";"56";"13094900";"0";"No";"AGRA NORTH";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Rajeev Agarwal";"Saman Adhikar Party";"0";"Graduate";"64";"16072861";"5230219";"No";"AGRA NORTH";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Sashank Agarwal";"IND";"0";"Post Graduate";"29";"2940953";"0";"No";"AGRA NORTH";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Shabbir Abbas";"BSP";"0";"Post Graduate";"56";"247429624";"14324271";"No";"AGRA NORTH";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Vineet Agarwal";"IND";"0";"Graduate";"42";"173319";"0";"No";"AGRA NORTH";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Vinod Bansal";"INC";" 1";"Post Graduate";"70";"23190729";"1406000";"No";"AGRA NORTH";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Baby Rani Maurya";"BJP";"0";"Post Graduate";"65";"28672774";"0";"Yes";"AGRA RURAL (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Arun Kumar Katheria";"AAP";"0";"Graduate Professional";"37";"3692428";"1206945";"No";"AGRA RURAL (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Balv";"Rashtriya Samaj Paksha";"0";"Graduate";"30";"61511170";"0";"No";"AGRA RURAL (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Kiran Prabha Kesha";"BSP";"0";"Graduate Professional";"41";"15230358";"1378073";"No";"AGRA RURAL (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Mahesh Kuma";"RLD";" 2";"5th Pass";"52";"98780881";"7251846";"No";"AGRA RURAL (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
"Pankaj Kuma";"IND";"0";"Graduate Professional";"28";"28127944";"1378323";"No";"AGRA RURAL (SC)";"UTTAR PRADESH";"AGRA";"2022";"Uttar Pradesh";"No Comment"
