,Candidate,Party,,Criminal Cases,,Education,,Age,,Total Assets,,Liabilities,,Result,constituency,state,year,election
,Vijayakumar Alias Viyay Vasanth,,INC,, 1,,Post Graduate,37,,532275977,,176841,,Winner,KANNIYAKUMARI : BYE ELECTION ON 06-04-2021,TAMIL NADU,2019,Lok Sabha
,Jerome Lourdhu Raja A.,,IND,,0,,Graduate,43,,1472040,,0,,,KANNIYAKUMARI : BYE ELECTION ON 06-04-2021,TAMIL NADU,2019,Lok Sabha
,Radhakrishnan P.,,BJP,, 3,,Graduate Professional,69,,74951321,,0,,,KANNIYAKUMARI : BYE ELECTION ON 06-04-2021,TAMIL NADU,2019,Lok Sabha
,Shuba Charles,,Makkal Needhi Maiam,,0,,Graduate Professional,58,,264149506,,147000480,,,KANNIYAKUMARI : BYE ELECTION ON 06-04-2021,TAMIL NADU,2019,Lok Sabha
